school,county,lat,lon,complvl_num,conf,complvl
JUAREZ-LINCOLN,hidalgo,26.328461,-98.39881,32,4,District
JUAREZ LINCOLN,hidalgo,26.328461,-98.39881,32,4,District
JUDSON,bexar,29.509676,-98.306675,26,5,District
JUDSON EARLY COLLEGE ACADEMY,bexar,29.551414,-98.327967,25,5,District
JUNCTION,kimble,30.487931,-99.778789,2,2,District
KARNACK,harrison,32.667811,-94.17257,21,1,District
KARNES CITY,karnes,28.88788,-97.892055,29,2,District
KASHMERE,harris,29.822509,-95.31509,21,4,District
KATY,fort bend,29.78303,-95.833011,19,5,District
KAUFER,kleberg,27.297364,-97.810176,32,2,District
KAUFMAN,kaufman,32.56571,-96.312653,12,3,District
KEENE,johnson,32.391655,-97.318027,11,2,District
KELLER,tarrant,32.939775,-97.23284,5,5,District
KELTON,bell,31.087049,-97.47023,8,1,District
KEMP,kaufman,32.428717,-96.228318,12,3,District
KEMPNER,fort bend,29.642796,-95.644696,20,5,District
KENEDY,karnes,28.82996,-97.84628,29,2,District
KENNARD,houston,31.361512,-95.180123,23,1,District
KENNEDALE,tarrant,32.652528,-97.19877,10,3,District
KENNEDY,karnes,28.82996,-97.84628,29,4,District
KERMIT,winkler,31.856044,-103.082649,1,2,District
KERR,harris,29.691573000000002,-95.635351,23,4,District
KILGORE,gregg,32.393353,-94.873228,14,4,District
KILLEEN,bell,31.112203,-97.697753,16,4,District
KING,nueces,27.718759,-97.370808,28,5,District
KINGWOOD,harris,30.045404,-95.1956,22,5,District
KINGWOOD PARK,harris,30.072554,-95.212994,19,4,District
KIRBYVILLE,jasper,30.65076,-93.89478,22,3,District
KLEIN,harris,30.019784,-95.523551,14,5,District
KLEIN COLLINS,harris,30.061406,-95.478787,14,5,District
KLEIN FOREST,harris,29.965824,-95.499545,14,5,District
KLEIN OAK,harris,30.096835,-95.518429,18,4,District
KNOX CITY,knox,33.421011,-99.814856,11,1,District
KOUNTZE,hardin,30.375106,-94.33362,24,2,District
KRESS,swisher,34.364827,-101.744375,1,1,District
KRUM,denton,33.264058,-97.226873,13,2,District
LA FERIA,cameron,26.16457,-97.82841,32,3,District
LA GRANGE,fayette,29.901872,-96.865098,19,3,District
LA JOYA,hidalgo,26.252828,-98.471061,30,5,District
LA MARQUE,galveston,29.374715,-94.995657,23,4,District
LA PORTE,harris,29.654727,-95.014766,23,5,District
LA POYNOR,henderson,32.09755,-95.639474,24,1,District
LA PRYOR,zavala,28.944951,-99.843145,30,1,District
LA VEGA,mclennan,31.60231,-97.09929,17,3,District
LA VERNIA,wilson,29.351514,-98.123041,28,3,District
LAGO VISTA,travis,30.44083,-97.97971,25,2,District
LAKE DALLAS,denton,33.132925,-97.061984,9,4,District
LAKE HIGHLANDS,dallas,32.887003,-96.72728,9,5,District
LAKE TRAVIS,travis,30.327406,-97.969977,27,4,District
LAKE VIEW,tom green,31.504509,-100.443978,4,4,District
LAKE WORTH,tarrant,32.820221,-97.416781,7,3,District
LAKEVIEW CENTENNIAL,dallas,32.856832,-96.576284,11,5,District
LAMAR,harris,29.740249,-95.426211,21,5,District
LAMAR CONS,fort bend,29.560382,-95.77922,24,4,District
LAMESA,dawson,32.745624,-101.958995,3,3,District
LAMPASAS,lampasas,31.0417,-98.181691,16,4,District
LANCASTER,dallas,32.617371,-96.762864,14,4,District
LANGHAM CREEK,harris,29.881564,-95.677156,17,5,District
LANIER,bexar,29.422645,-98.514094,25,4,District
LASARA,willacy,26.46347,-97.90767,31,1,District
LATEXO,houston,31.394522,-95.472877,26,1,District
LAW ENFCMT-CRIM JUST,harris,29.764729,-95.408332,20,5,District
LEANDER,williamson,30.537572,-97.851136,15,5,District
LEE,bexar,29.507518,-98.515972,22,5,District
LEGGETT,polk,30.816335,-94.867259,23,1,District
LEON,leon,31.320472,-96.205401,22,2,District
LEONARD,fannin,33.389957,-96.241894,15,2,District
LEVELLAND,hockley,33.58374,-102.349732,2,3,District
LEVERETTS CHAPEL,rusk,32.31252,-94.921296,21,1,District
LEWISVILLE,denton,33.040892,-97.020051,8,5,District
LIBERTY,liberty,30.074786,-94.787879,23,3,District
LIBERTY-EYLAU,bowie,33.391517,-94.0907,14,3,District
LIBERTY HILL,williamson,30.680323,-97.953654,27,3,District
LIFE SCHOOL OAK CLIFF,dallas,32.690454,-96.821584,15,2,District
LINDALE,smith,32.514253,-95.396751,15,3,District
LINDEN-KILDARE,cass,32.978122,-94.31308,18,2,District
LINDSAY,cooke,33.6366,-97.2373,14,1,District
LIPAN,hood,32.521386,-98.047207,16,1,District
LITTLE ELM,denton,33.181484,-96.907019,7,3,District
LITTLEFIELD,lamb,33.916485,-102.34253,2,3,District
LIVINGSTON,polk,30.71721,-94.966961,18,4,District
LLANO,llano,30.732967,-98.681851,27,3,District
LOCKHART,caldwell,29.872594,-97.677369,26,4,District
LOCKNEY,floyd,34.12102,-101.446508,6,2,District
LONDON,nueces,27.68894,-97.479511,31,1,District
LONE OAK,hunt,32.986056,-95.931176,17,2,District
LONE STAR,denton,33.19111,-96.86629,11,3,District
LONGVIEW,gregg,32.544968,-94.743574,12,5,District
LORENZO,crosby,33.672373,-101.531867,5,1,District
LOS FRESNOS,cameron,26.074714,-97.482913,32,5,District
LOUISE,wharton,29.111201,-96.408451,28,1,District
LOVEJOY,collin,33.101881,-96.613431,9,3,District
LUBBOCK,lubbock,33.578611,-101.860861,2,5,District
LUEDERS-AVOCA,jones,32.865917,-99.717068,16,1,District
LUFKIN,angelina,31.335757,-94.687814,14,5,District
LULING,caldwell,29.677839,-97.654262,26,3,District
LUMBERTON,hardin,30.238024,-94.196281,20,4,District
LYFORD,willacy,26.409885,-97.799253,32,3,District
LYTLE,medina,29.236923,-98.807006,28,3,District
MABANK,kaufman,32.372524,-96.110146,14,4,District
MACARTHUR,bexar,29.5293,-98.44085,26,5,District
MADISON,bexar,29.581719,-98.391303,21,5,District
MADISONVILLE,madison,30.945,-95.905634,18,3,District
MAGNOLIA,montgomery,30.227815,-95.687105,17,5,District
MAGNOLIA WEST,montgomery,30.22155,-95.7666,18,4,District
MALAKOFF,henderson,32.175978,-96.034366,21,2,District
MANOR,travis,30.353329,-97.562329,19,3,District
MANSFIELD,tarrant,32.573989,-97.090384,4,5,District
MANVEL,brazoria,29.47208,-95.36514,23,4,District
MARBLE FALLS,burnet,30.583391,-98.252192,27,4,District
MARCUS,denton,33.064443,-97.062779,8,5,District
MARION,guadalupe,29.567002,-98.141147,28,3,District
MARLIN,webb,27.518485,-99.505431,18,3,District
MARSHALL,bexar,29.513856,-98.620165,20,5,District
MART,mclennan,31.541492,-96.828088,22,2,District
MARTIN,webb,27.518485,-99.505431,29,5,District
MASON,mason,30.743288,-99.241911,2,2,District
MATHIS,san patricio,28.08435,-97.813314,30,3,District
MAY,nueces,27.753053,-97.394459,16,1,District
MAYDE CREEK,harris,29.806473,-95.695341,19,5,District
MAYPEARL,ellis,32.314846,-97.018869,11,2,District
MCALLEN,hidalgo,26.226353,-98.238343,30,5,District
MCCALLUM,bexar,29.343467,-98.512276,25,4,District
MCCAMEY,upton,31.126384,-102.219796,8,1,District
MCCOLLUM,bexar,29.343467,-98.512276,30,4,District
MCGREGOR,mclennan,31.427047,-97.405031,12,2,District
MCKINNEY,collin,33.188204,-96.632484,9,4,District
MCKINNEY BOYD,collin,33.202869,-96.678062,10,5,District
MCKINNEY NORTH,collin,33.23079,-96.642368,9,4,District
MCLEOD,cass,32.948789,-94.083276,22,1,District
MCNEIL,travis,30.449115,-97.732611,15,5,District
MEDINA VALLEY,medina,29.344272,-98.839257,28,4,District
MELISSA,collin,33.291097,-96.576374,12,2,District
MEMORIAL,harris,29.780637,-95.523794,28,5,District
MEMPHIS,hall,34.735251,-100.548754,2,1,District
MENARD,menard,30.91341,-99.790401,10,1,District
MERCEDES,hidalgo,26.14072,-97.90881,32,4,District
MERIDIAN,bosque,31.92703,-97.653509,18,1,District
MERKEL,taylor,32.465491,-100.025266,4,3,District
MESQUITE,dallas,32.765474,-96.595991,12,5,District
MEXIA,limestone,31.687892,-96.474866,18,3,District
MIDLAND,midland,31.999754,-102.08437,3,5,District
MIDLOTHIAN,ellis,32.49141,-96.993961,15,4,District
MIDLOTHIAN HERITAGE,ellis,32.487544,-96.943673,7,4,District
MIDWAY,mclennan,31.483524,-97.199404,16,4,District
MILANO,milam,30.713661,-96.86958,28,1,District
MILBY,harris,29.67506,-95.342201,21,5,District
MILDRED,navarro,32.03589,-96.378056,14,2,District
MILES,runnels,31.605446,-100.186383,10,1,District
MILLSAP,parker,32.758017,-98.005313,10,2,District
MINEOLA,wood,32.670662,-95.500273000000007,13,3,District
MINERAL WELLS,palo pinto,32.816884,-98.07774,6,4,District
MISSION,hidalgo,26.223409,-98.329881,32,4,District
MISSION COLLEGIATE,hidalgo,26.21801,-98.310041,32,4,District
MISSION EARLY COLLEGE,el paso,31.679061,-106.26542,1,5,District
MONAHANS,ward,31.586865,-102.893073,3,3,District
MONTEREY,lubbock,33.550188,-101.88557,2,5,District
MONTGOMERY,montgomery,30.387458,-95.721473,18,4,District
MONTWOOD,el paso,31.762661,-106.276636,1,5,District
MOODY,mclennan,31.285147,-97.367952,28,5,District
MORTON RANCH,harris,29.803431,-95.744028,18,5,District
MOULTON,lavaca,29.57887,-97.147471,28,1,District
MOUNT CALM,hill,31.76198,-96.879621,20,1,District
MOUNT PLEASANT,titus,33.177269,-94.990102,12,4,District
MOUNTAIN VIEW,el paso,31.79735,-106.158507,2,4,District
MUENSTER,cooke,33.656091,-97.374628,14,1,District
MULESHOE,bailey,34.226205,-102.728625,2,3,District
MULLIN,mills,31.555939,-98.670882,25,1,District
NAAMAN FOREST,dallas,32.957845,-96.63769,11,5,District
NACOGDOCHES,nacogdoches,31.643311,-94.621646,17,4,District
NATALIA,medina,29.187649,-98.854026,28,2,District
NAVARRO,guadalupe,29.656107,-97.967026,27,2,District
NAVASOTA,grimes,30.400588,-96.06911,20,3,District
NECHES,anderson,31.874884,-95.47581,21,1,District
NEDERLAND,jefferson,29.982055,-94.011981,20,4,District
NEEDVILLE,fort bend,29.37069,-95.80059,25,3,District
NEW BOSTON,bowie,33.456898,-94.420033,14,3,District
NEW BRAUNFELS,comal,29.718688,-98.14995,27,4,District
NEW CANEY,montgomery,30.132424,-95.221678,18,4,District
NEW DEAL,lubbock,33.731329,-101.839759,6,1,District
NEW DIANA,upshur,32.708613,-94.751388,18,2,District
NEW HOME,williamson,30.573799,-97.852119,5,1,District
NEW WAVERLY,walker,30.523605,-95.486234,23,2,District
NEWTON,newton,30.82421,-93.74296,24,2,District
NIMITZ,dallas,32.792515,-96.946613,18,5,District
NIXON,webb,27.52623,-99.475216,29,5,District
NIXON SMILEY,gonzales,29.275452,-97.76461,29,2,District
NOCONA,montague,33.797303,-97.729873,9,2,District
NORMANGEE,leon,31.026895,-96.123415,26,1,District
NORTH CROWLEY,tarrant,32.610056,-97.394814,4,5,District
NORTH DALLAS,dallas,32.810317,-96.79512,10,4,District
NORTH FOREST,harris,29.867806,-95.262549,19,4,District
NORTH FORNEY,kaufman,32.765313,-96.406797,13,3,District
NORTH HOPKINS,hopkins,33.271232,-95.619107,22,1,District
NORTH HOUSTON EARLY COLLEGE,harris,29.83529,-95.377451,20,5,District
NORTH LAMAR,lamar,33.692585,-95.55164,12,4,District
NORTH MESQUITE,dallas,32.80904,-96.629249,12,5,District
NORTH SIDE,tarrant,32.78398,-97.371886,7,4,District
NORTHBROOK,harris,29.817229,-95.531068,18,5,District
NORTHSIDE,tarrant,32.78398,-97.371886,11,1,District
NORTHWEST,denton,33.025181,-97.313424,9,4,District
OAK RIDGE,montgomery,30.170968,-95.443717,14,5,District
OAKWOOD,leon,31.587178,-95.853531,23,1,District
ODEM,san patricio,27.950584,-97.590051,31,2,District
ODESSA,ector,31.851308,-102.382562,3,5,District
OLNEY,young,33.366687,-98.761827,8,2,District
OLTON,lamb,34.18158,-102.13725,6,2,District
ORANGE GROVE,jim wells,27.950272,-97.940214,31,3,District
ORANGEFIELD,orange,30.076514,-93.862569,24,3,District
ORE CITY,upshur,32.807173,-94.720556,18,2,District
OVERTON,rusk,32.27628,-94.977991,24,1,District
OZEN,jefferson,30.051818,-94.118205,20,4,District
OZONA,crockett,30.713734,-101.201105,2,2,District
PALACIOS,matagorda,28.70726,-96.23617,25,3,District
PALESTINE,anderson,31.738192,-95.604569,21,3,District
PALMER,ellis,32.428071,-96.683125,14,2,District
PALO DURO,potter,35.227845,-101.823244,3,4,District
PAMPA,gray,35.550377,-100.964504,3,4,District
PANHANDLE,carson,35.352088,-101.383062,7,2,District
PARADISE,wise,33.14471,-97.694061,9,2,District
PARIS,lamar,33.64068,-95.53285,12,4,District
PARKLAND,el paso,31.902358,-106.402197,2,4,District
PASCHAL,tarrant,32.707873,-97.350733,4,5,District
PEARCE,dallas,32.972643,-96.768258,10,5,District
PEARLAND,brazoria,29.538787,-95.270268,24,5,District
PEARSALL,frio,28.902817,-99.08884,29,3,District
PEASTER,parker,32.869291,-97.865968,9,2,District
PEBBLE HILLS,el paso,31.77993,-106.220101,2,5,District
PECOS,reeves,31.413818,-103.503688,3,3,District
PERMIAN,ector,31.886886,-102.357691,3,5,District
PERRYTON,ochiltree,36.388202,-100.816167,1,3,District
PEWITT,morris,33.185449,-94.711213,18,2,District
PFLUGERVILLE,travis,30.444395,-97.632462,15,5,District
PILOT POINT,denton,33.410711,-96.947887,6,3,District
PINE TREE,gregg,32.515781,-94.780685,17,4,District
PINEYWOODS COMMUNITY ACADEMY,angelina,31.34281,-94.735803,23,1,District
PITTSBURG,camp,33.002535,-94.972121,13,3,District
PLAINS,yoakum,33.189068,-102.82558,4,1,District
PLAINVIEW,hale,34.196976,-101.725467,4,4,District
PLANO,llano,30.732967,-98.681851,8,5,District
PLANO EAST SR,collin,33.03914,-96.64562,9,5,District
PLANO SR,collin,33.029036,-96.752083,9,5,District
PLEASANT GROVE,bowie,33.464873,-94.110108,14,3,District
PLEASANTON,atascosa,28.965947,-98.467539,30,4,District
POLYTECHNIC,tarrant,32.73243,-97.288425,8,4,District
PONDER,denton,33.185284,-97.291466,13,2,District
POOLVILLE,parker,32.972401,-97.860985,12,1,District
PORT ARANSAS,nueces,27.83238,-97.060292,32,1,District
PORT ISABEL,cameron,26.078462,-97.247082,32,3,District
PORT NECHES-GROVES,jefferson,29.98876,-93.953353,20,4,District
PORTER,montgomery,30.11833,-95.269691,32,5,District
POST,garza,33.184848,-101.381032,5,2,District
POTEET,atascosa,29.047297,-98.565937,11,4,District
POTH,wilson,29.075261,-98.081582,28,2,District
POTTSBORO,grayson,33.76467,-96.6525,6,3,District
PRAIRIE VALLEY,montague,33.893654,-97.724,13,1,District
PRAIRILAND,lamar,33.573413,-95.392665,16,2,District
PREMONT,jim wells,27.356498,-98.133511,32,2,District
PRESIDIO,presidio,29.552206,-104.356111,4,2,District
PRINCETON,collin,33.173435,-96.488518,9,3,District
PROGRESO,hidalgo,26.098713,-97.957445,32,3,District
PROSPER,collin,33.2486,-96.7884,13,2,District
QUANAH,hardeman,34.294242,-99.745546,2,1,District
QUEEN CITY,cass,33.149998,-94.137393,18,2,District
QUITMAN,wood,32.797596,-95.427737,17,2,District
RAINS,rains,32.890475,-95.790372,11,3,District
RALLS,crosby,33.681245,-101.380587,6,1,District
RANCHVIEW,dallas,32.918611,-96.945226,7,3,District
RANDALL,randall,35.11391,-101.899488,3,4,District
RANDOLPH,bexar,29.527682,-98.295646,27,2,District
RANGER,denton,33.369494,-97.160243,12,1,District
RANKIN,upton,31.229172,-101.941216,7,1,District
RAY,nueces,27.753053,-97.394459,28,5,District
RAYBURN,fannin,33.768151,-96.10456,23,5,District
RAYMONDVILLE,willacy,26.46872,-97.775221,32,3,District
REAGAN,bexar,29.619263,-98.488156,26,5,District
REAGAN COUNTY,reagan,31.201677,-101.451645,2,2,District
RED OAK,ellis,32.512021,-96.803575,14,4,District
REDWATER,bowie,33.365337,-94.248794,16,2,District
REFUGIO,refugio,28.314549,-97.275031,29,2,District
RICE,colorado,29.571265,-96.45414,18,1,District
RICHARDSON,dallas,32.951842,-96.762249,10,5,District
RICHLAND,tarrant,32.841749,-97.229645,5,5,District
RIDER,wichita,33.862402,-98.56869,5,4,District
RIDGE POINT,fort bend,29.48375,-95.515071,23,5,District
RIO GRANDE CITY,starr,26.407631,-98.762724,30,5,District
RIO HONDO,cameron,26.237315,-97.580949,32,3,District
RIO VISTA,johnson,32.228783,-97.372694,11,2,District
RISING STAR,eastland,32.105166,-98.964688,16,1,District
RIVER ROAD,potter,35.30773,-101.832972,1,3,District
RIVERCREST,red river,33.471798,-95.220646,22,1,District
RIVERSIDE,el paso,31.733811,-106.372636,2,4,District
ROBERT LEE,coke,31.90143,-100.487065,9,1,District
ROBINSON,mclennan,31.46195,-97.121801,17,3,District
ROBSTOWN,nueces,27.801235,-97.676748,31,4,District
ROBY,fisher,32.74304,-100.37894,9,1,District
ROCKDALE,milam,30.651977,-97.017393,19,3,District
ROCKPORT-FULTON,aransas,28.04139,-97.04492,31,4,District
ROCKSPRINGS,edwards,30.016801,-100.204883,30,1,District
ROCKWALL,rockwall,32.904942,-96.458371,12,5,District
ROCKWALL-HEATH,rockwall,32.84624,-96.472381,10,4,District
ROGERS,bell,30.932405,-97.22737,25,2,District
ROMA,starr,26.443172,-99.026311,32,4,District
ROOSEVELT,lubbock,33.582961,-101.674734,26,5,District
ROSCOE COLLEGIATE,nolan,32.438486,-100.541688,9,1,District
ROSEBUD-LOTT,falls,31.139078,-97.00668,22,2,District
ROTAN,fisher,32.852744,-100.464446,6,1,District
ROUND ROCK,williamson,30.510081,-97.700901,15,5,District
ROUND TOP-CARMINE,fayette,30.143919,-96.68137,27,1,District
ROUSE,williamson,30.57014,-97.818231,8,3,District
ROWE,hidalgo,26.227331,-98.261031,30,5,District
ROWLETT,dallas,32.902184,-96.554057,11,5,District
ROYAL,waller,29.80277,-95.969491,26,2,District
ROYSE CITY,hunt,32.974033,-96.292017,9,3,District
RUNGE,karnes,28.888801,-97.711098,31,1,District
RUSK,cherokee,31.781633,-95.143978,21,3,District
RYAN,denton,33.211542,-97.075864,5,5,District
SABINAL,uvalde,29.326395,-99.472076,30,1,District
SABINE,gregg,32.446246,-94.951818,13,3,District
SACHSE,dallas,32.96145,-96.586641,11,5,District
SAGINAW,tarrant,32.8526,-97.3454,7,4,District
SAINT JO,montague,33.690885,-97.522223,14,1,District
SALADO,bell,30.9663,-97.538861,25,2,District
SAM HOUSTON,tarrant,32.702538,-97.075269,7,5,District
SAN AUGUSTINE,san augustine,31.535399,-94.099797,20,2,District
SAN BENITO,cameron,26.141946,-97.651938,32,5,District
SAN DIEGO,duval,27.754715,-98.246526,31,3,District
SAN ELIZARIO,el paso,31.565261,-106.240394,2,4,District
SAN ISIDRO,starr,26.71702,-98.453559,31,1,District
SAN MARCOS,hays,29.82269,-97.947791,25,5,District
SAN PERLITA,willacy,26.496,-97.64016,31,1,District
SAN SABA,san saba,31.195793,-98.72771,3,2,District
SANDERSON,travis,30.375754,-97.753617,7,1,District
SANFORD-FRITCH,hutchinson,35.645372,-101.580425,7,2,District
SANGER,denton,33.369494,-97.160243,6,3,District
SANTA FE,galveston,29.393257,-95.143149,23,4,District
SANTA GERTRUDIS ACADEMY,kleberg,27.522454,-97.881569,32,2,District
SANTA MARIA,cameron,26.076334,-97.844264,32,1,District
SANTA ROSA,cameron,26.253452,-97.823834,32,2,District
SANTO,palo pinto,32.605209,-98.210488,12,1,District
SAVOY,fannin,33.601052,-96.369234,19,1,District
SCARBOROUGH,harris,29.829261,-95.470797,21,4,District
SCURRY-ROSSER,kaufman,32.513825,-96.382556,14,2,District
SEAGOVILLE,dallas,32.677602,-96.58369,13,4,District
SEALY,austin,29.762086,-96.17435,20,3,District
SEGUIN,guadalupe,29.575921,-97.947206,25,5,District
SEMINOLE,gaines,32.722953,-102.670232,3,3,District
SEVEN LAKES,fort bend,29.707876,-95.80752,23,4,District
SEYMOUR,baylor,33.592187,-99.245872,8,2,District
SHADOW CREEK,brazoria,29.555492,-95.400467,23,5,District
SHALLOWATER,lubbock,33.694644,-101.991052,5,2,District
SHAMROCK,wheeler,35.214347,-100.239457,2,1,District
SHARPSTOWN,harris,29.684351,-95.515521,21,4,District
SHARYLAND,hidalgo,26.21239,-98.284048,30,5,District
SHARYLAND PIONEER,hidalgo,26.300144,-98.266298,31,5,District
SHEPHERD,san jacinto,30.495138,-94.99667,22,3,District
SHERMAN,grayson,33.643629,-96.58308,5,4,District
SHINER,lavaca,29.445729,-97.184692,28,1,District
SILSBEE,hardin,30.344707,-94.148121,22,3,District
SINTON,san patricio,28.040674,-97.496647,30,3,District
SKIDMORE-TYNAN,bee,28.25562,-97.687731,31,2,District
SKYLINE,dallas,32.779362,-96.689761,9,5,District
SLATON,lubbock,33.436311,-101.660289,5,2,District
SLOCUM,anderson,31.63181,-95.462461,26,1,District
SMITH,dallas,32.979363,-96.891554,13,4,District
SMITHSON VALLEY,comal,29.802641,-98.36005,26,5,District
SMITHVILLE,bastrop,29.997995,-97.166184,19,3,District
SMYER,hockley,33.590209,-102.164633,4,1,District
SNYDER,scurry,32.702533,-100.929153,4,3,District
SOCORRO,el paso,31.658789,-106.293095,1,5,District
SOMERSET,bexar,29.229111,-98.650833,28,3,District
SOMERVILLE,burleson,30.34197,-96.535068,26,2,District
SONORA,sutton,30.55663,-100.637191,2,2,District
SOUTH GRAND PRAIRIE,dallas,32.695314,-97.005577,6,5,District
SOUTH OAK CLIFF,dallas,32.699658,-96.81522,13,4,District
SOUTH SAN ANTONIO,bexar,29.349565,-98.548363,30,4,District
SOUTHSIDE,bexar,29.234092,-98.474901,30,4,District
SOUTHWEST,bexar,29.307748,-98.672806,25,5,District
SPEARMAN,hansford,36.185861,-101.187603,7,2,District
SPLENDORA,montgomery,30.247654,-95.197659,23,3,District
SPRING,harris,30.052989,-95.429584,22,5,District
SPRING HILL,gregg,32.564389,-94.795315,16,3,District
SPRING WOODS,harris,29.810888,-95.548309,18,5,District
SPRINGTOWN,parker,32.965236,-97.698258,7,4,District
SPURGER,tyler,30.69517,-94.178587,27,1,District
STAFFORD,jones,32.940139,-99.793332,25,3,District
STAMFORD,jones,32.940139,-99.793332,4,2,District
STANTON,martin,32.13065,-101.80521,4,2,District
STEPHENVILLE,erath,32.21687,-98.236581,6,4,District
STERLING,harris,29.636206,-95.322675,22,5,District
STERLING CITY,sterling,31.84051,-100.988696,10,1,District
STEVENS,bexar,29.440564,-98.684557,27,5,District
STOCKDALE,wilson,29.230528,-97.961084,28,2,District
STONY POINT,williamson,30.53095,-97.661641,15,5,District
STRATFORD,sherman,36.341086,-102.076303,18,5,District
SUDAN,lamb,34.063059,-102.529376,4,1,District
SULPHUR SPRINGS,hopkins,33.138137,-95.619352,12,4,District
SUMMER CREEK,harris,29.92498,-95.20704,18,4,District
SUNDOWN,hockley,33.4599,-102.485968,4,1,District
SUNNYVALE,dallas,32.795284,-96.561099,14,2,District
SUNRAY,moore,36.014052,-101.820459,2,1,District
SUNSET,dallas,32.746383,-96.854264,9,5,District
SWEENY,brazoria,29.0497,-95.70536,25,3,District
SWEETWATER,nolan,32.480268,-100.40519,4,3,District
TAFT,san patricio,27.987395,-97.388512,27,5,District
TAHOKA,lynn,33.169443,-101.806945,5,2,District
TARKINGTON,liberty,30.31493,-94.963471,23,3,District
TASCOSA,potter,35.193752,-101.880359,2,5,District
TATUM,rusk,32.321275,-94.516974,16,3,District
TAYLOR,williamson,30.54928,-97.431261,19,5,District
TEAGUE,freestone,31.633584,-96.263439,22,2,District
TEMPLE,bell,31.106923,-97.353588,13,5,District
TERRELL,kaufman,32.762571,-96.28008,11,4,District
TEXAS,bowie,33.454851,-94.065242,12,4,District
TEXAS CITY,galveston,29.393244,-94.915221,23,4,District
TEXAS EMPOWERMENT ACADEMY,travis,30.27319,-97.672261,29,1,District
THE COLONY,denton,33.075876,-96.887042,8,5,District
THE WOODLANDS,montgomery,30.194371,-95.50343,14,5,District
THORNDALE,milam,30.616197,-97.206589,28,1,District
THRALL,williamson,30.589694,-97.295725,28,1,District
TIDEHAVEN,matagorda,28.898217,-96.141749,30,2,District
TIMBER CREEK,tarrant,32.94948,-97.28698,11,3,District
TIMPSON,shelby,31.906425,-94.38956,20,2,District
TIVY,kerr,30.037547,-99.109162,28,4,District
TLC ACADEMY,tom green,31.4379,-100.5056,9,1,District
TOLAR,hood,32.381971,-97.931932,12,1,District
TOM BEAN,grayson,33.527551,-96.497855,15,2,District
TOMBALL,harris,30.111186,-95.62808,17,5,District
TOMBALL MEMORIAL,harris,30.033813,-95.634521,24,3,District
TOMPKINS,fort bend,29.733371000000002,-95.813825,19,5,District
TORNILLO,el paso,31.460883,-106.090759,1,2,District
TRANSMOUNTAIN EARLY COLLEGE,el paso,31.897984,-106.428368,1,5,District
TRAVIS,travis,30.234386,-97.744723,25,4,District
TRENTON,fannin,33.426788,-96.341188,20,1,District
TRIMBLE TECHNICAL,tarrant,32.736797,-97.33637,8,4,District
TRINITY,trinity,30.959238,-95.35244,6,5,District
TROUP,smith,32.153703,-95.112421,19,2,District
TROY,bell,31.210753,-97.306383,12,2,District
TULIA,swisher,34.542038,-101.757699,6,2,District
TULOSO-MIDWAY,nueces,27.829209,-97.57543,31,4,District
TURNER,dallas,32.947734,-96.891431,10,5,District
UNION GROVE,upshur,32.56917,-94.923071,19,2,District
UNION HILL,upshur,32.812723,-94.97967,22,1,District
UNITED,webb,27.62445,-99.46563,29,5,District
UNITED SOUTH,webb,27.477495,-99.450386,29,5,District
UNIVERSAL ACADEMY,dallas,32.842776,-96.95819,14,1,District
UNIVERSITY,mclennan,31.50307,-97.137171,16,4,District
UPLIFT HEIGHTS PREPARATORY,dallas,32.79002,-96.866021,10,4,District
UVALDE,uvalde,29.220683,-99.781995,28,4,District
VALLE VERDE EARLY COLLEGE,el paso,31.751596,-106.369257,1,5,District
VALLEY MILLS,mclennan,31.645663,-97.453589,18,1,District
VALLEY VIEW,cooke,33.481167,-97.161779,32,3,District
VAN,van zandt,32.535657,-95.638351,15,3,District
VAN ALSTYNE,grayson,33.439441,-96.584935,9,3,District
VAN VLECK,matagorda,29.017084,-95.887402,30,2,District
VANDEGRIFT,travis,30.39665,-97.826601,8,3,District
VEGA,oldham,35.25021,-102.41886,2,1,District
VELA,oldham,35.25021,-102.41886,30,5,District
VENUS,johnson,32.425299,-97.103375,8,3,District
VERIBEST,tom green,31.47721,-100.258805,15,1,District
VERNON,wilbarger,34.147649,-99.31295,5,3,District
VETERANS MEMORIAL,hidalgo,26.24196,-98.315393,32,4,District
VICTORIA EAST,victoria,28.84966,-96.969557,30,4,District
VICTORIA WEST,victoria,28.861185,-97.033494,30,4,District
VIDOR,orange,30.123266,-94.005003,20,4,District
VISTA RIDGE,williamson,30.516798,-97.786159,26,4,District
WACO,mclennan,31.542541,-97.184473,13,5,District
WAKELAND,denton,33.168295,-96.845707,9,3,District
WALL,tom green,31.373268,-100.308504,2,2,District
WALLER,harris,30.078599,-95.920344,18,4,District
WALTRIP,harris,29.818407,-95.432245,22,4,District
WARREN,tyler,30.612306,-94.392074,27,5,District
WASKOM,harrison,32.47541,-94.072014,18,2,District
WATER VALLEY,tom green,31.66791,-100.718524,15,1,District
WAXAHACHIE,ellis,32.4138,-96.837191,15,4,District
WEATHERFORD,parker,32.724693,-97.806594,4,5,District
WEIMAR,colorado,29.703953,-96.788001,30,2,District
WELLINGTON,collingsworth,34.848674,-100.214353,2,1,District
WELLS,cherokee,31.487771,-94.937589,23,1,District
WESLACO,hidalgo,26.167878,-98.000573,31,5,District
WESLACO EAST,hidalgo,26.152364,-97.969948,32,4,District
WEST,mclennan,31.811449,-97.086503,8,3,District
