school,county,lat,lon,complvl_num,conf,complvl
BROWNSBORO,henderson,32.300012,-95.62233,15,3,District
BROWNWOOD,brown,31.691441,-98.978723,16,4,District
BRUCEVILLE-EDDY,mclennan,31.306931,-97.247839,12,2,District
BRUNI,webb,27.42788,-98.837186,31,1,District
BRYAN,denton,33.211542,-97.075864,13,5,District
BUFFALO,leon,31.471314,-96.071514,22,2,District
BULLARD,cherokee,32.13205,-95.31678,15,3,District
BUNA,jasper,30.430632,-93.95726,22,3,District
BURBANK,bexar,29.392884,-98.509277,29,4,District
BURGES,el paso,31.784971,-106.384138,1,4,District
BURKBURNETT,wichita,34.081094,-98.572901,5,4,District
BURLESON,johnson,32.52903,-97.345731,4,5,District
BURNET,burnet,30.774409,-98.230462,27,4,District
BURTON,washington,30.183957,-96.598722,28,1,District
BUSHLAND,potter,35.202279,-102.062278,2,2,District
CADDO MILLS,hunt,33.079599,-96.228791,17,2,District
CALALLEN,nueces,27.857635,-97.636446,31,4,District
CALDWELL,burleson,30.548227,-96.67398,19,3,District
CALHOUN,calhoun,28.62077,-96.642061,24,4,District
CALLISBURG,cooke,33.70172,-97.01173,13,2,District
CAMPBELL,hunt,33.154391,-95.95045,20,1,District
CANADIAN,hemphill,35.908907,-100.385219,7,2,District
CANEY CREEK,montgomery,30.25515,-95.313103,18,4,District
CANTON,comal,29.685145,-98.132495,15,3,District
CANUTILLO,el paso,31.897117,-106.58471,1,4,District
CANYON,comal,29.685145,-98.132495,27,4,District
CANYON LAKE,lubbock,33.61237,-101.868131,26,3,District
CAPROCK,randall,35.179691,-101.802706,3,4,District
CARNEGIE VANGUARD,harris,29.75418,-95.385391,21,5,District
CARRIZO SPRINGS,dimmit,28.518902,-99.839834,29,3,District
CARROLL,nueces,27.719114,-97.403744,28,5,District
CARTER-RIVERSIDE,tarrant,32.782101,-97.299511999999993,7,4,District
CARTHAGE,panola,32.160555,-94.347757,16,3,District
CASTLEBERRY,tarrant,32.762309,-97.39288,7,3,District
CAYUGA,anderson,31.92118,-95.923191,18,1,District
CEDAR CREEK,bastrop,30.13835,-97.471641,17,4,District
CEDAR HILL,dallas,32.581895,-96.949546,7,5,District
CEDAR PARK,williamson,30.471867,-97.843371,15,5,District
CEDAR RIDGE,williamson,30.49276,-97.640331,25,4,District
CELESTE,hunt,33.2895,-96.202801,20,1,District
CELINA,collin,33.277359,-96.783939,13,2,District
CENTENNIAL,collin,33.136267,-96.770097,9,4,District
CENTER,shelby,31.803862,-94.20064,16,3,District
CENTER POINT,kerr,29.941734,-99.034073,30,1,District
CENTERVILLE,trinity,31.18135,-95.044027,22,2,District
CENTRAL,tom green,31.46379,-100.450691,3,5,District
CENTRAL HEIGHTS,nacogdoches,31.706309,-94.67829,20,2,District
CHALLENGE EARLY COLLEGE,harris,29.72135,-95.457365,24,4,District
CHANNELVIEW,harris,29.79526,-95.122106,23,4,District
CHAPEL HILL,titus,33.111064,-94.885474,15,3,District
CHAPIN,el paso,31.845141,-106.444354,1,4,District
CHARLOTTE,atascosa,28.862173,-98.70328,30,1,District
CHAVEZ,harris,29.687541,-95.255812,21,5,District
CHESTER,tyler,30.92863,-94.595465,26,1,District
CHICO,hamilton,31.993912,-98.023832,9,2,District
CHILDRESS,childress,34.433204,-100.210216,8,2,District
CHILLICOTHE,hardeman,34.253137,-99.511977,11,1,District
CHINA SPRING,mclennan,31.629802,-97.287694,17,3,District
CHIRENO,nacogdoches,31.496188,-94.350001,23,1,District
CHISHOLM TRAIL,hunt,33.243807,-95.908204,6,4,District
CHISOLM TRAIL,hunt,33.243807,-95.908204,6,4,District
CHISUM,lamar,33.626189,-95.564523,16,2,District
CHRISTOVAL,tom green,31.185433,-100.493504,10,1,District
CHURCHILL,bexar,29.549842,-98.512516,26,5,District
CINCO RANCH,fort bend,29.746905,-95.778611,19,5,District
CISCO,eastland,32.377624,-98.99341,10,2,District
CLARENDON,donley,34.939657,-100.898735,2,1,District
CLARK,collin,33.058695,-96.703289,27,5,District
CLAUDE,armstrong,35.106225,-101.366322,7,1,District
CLEAR BROOK,harris,29.548052,-95.186898,24,5,District
CLEAR CREEK,galveston,29.525354,-95.072334,24,5,District
CLEAR FALLS,galveston,29.511103,-95.028684,24,4,District
CLEAR LAKE,harris,29.582454,-95.105821,24,5,District
CLEAR SPRINGS,galveston,29.500253,-95.143019,23,4,District
CLEBURNE,johnson,32.345696,-97.423288,6,4,District
CLEMENS,fort bend,29.575142,-95.633167,25,5,District
CLEMENTS,fort bend,29.575142,-95.633167,20,5,District
CLEVELAND,liberty,30.339115,-95.069491,23,3,District
CLIFTON,bosque,31.788739,-97.590441,12,2,District
CLINT,el paso,31.570637,-106.218532,2,4,District
CLYDE,callahan,32.415502,-99.527265,4,3,District
COAHOMA,howard,32.30284,-101.30563,4,2,District
COLEMAN,coleman,31.809203,-99.424587,3,2,District
COLLEGE PARK,montgomery,30.204219,-95.47175,15,5,District
COLLEGE STATION,brazos,30.59275,-96.321641,18,3,District
COLLEGIATE,nueces,27.76407,-97.407211,12,5,District
COLLEYVILLE-HERITAGE,tarrant,32.886628,-97.104022,5,5,District
COLLINSVILLE,grayson,33.562163,-96.904695,14,1,District
COLORADO,mitchell,32.404352,-100.848882,4,2,District
COLUMBIA,brazoria,29.137502,-95.650609,25,3,District
COLUMBUS,colorado,29.702155,-96.562041,20,3,District
COMANCHE,comanche,31.912634,-98.595579,8,3,District
COMFORT,kendall,29.994897,-98.902361,27,2,District
COMMERCE,hunt,33.241807,-95.925454,11,3,District
COMMUNITY,collin,33.0238,-96.3732,9,3,District
CONROE,montgomery,30.321424,-95.48414,14,5,District
COOLIDGE,limestone,31.748056,-96.655377,26,1,District
COOPER,delta,33.362255,-95.698676,3,5,District
COPPELL,dallas,32.974672,-96.998599,6,5,District
COPPERAS COVE,coryell,31.126675,-97.913112,13,5,District
CORONADO,lubbock,33.564022,-101.917481,1,5,District
CORRIGAN-CAMDEN,polk,30.991718,-94.826293,23,2,District
COTULLA,la salle,28.43863,-99.235161,29,3,District
CRANDALL,randall,35.11391,-101.899488,12,3,District
CRAWFORD,mclennan,31.532058,-97.450909,12,2,District
CREEKVIEW,denton,33.002931,-96.912432,10,5,District
CROCKETT,houston,31.30046,-95.446861,16,5,District
CROSBY,harris,29.899492,-95.066751,19,4,District
CROSS PLAINS,callahan,32.131342,-99.16478,12,1,District
CROSS ROADS,coryell,31.121249,-97.89983,19,1,District
CROWLEY,tarrant,32.57833,-97.375702,15,4,District
CRYSTAL CITY,zavala,28.69037,-99.821498,29,3,District
CUERO,dewitt,29.09014,-97.28004,26,3,District
CUMBY,hopkins,33.135552,-95.844699,20,1,District
CYPRESS CREEK,harris,29.965823,-95.565165,17,5,District
CYPRESS FALLS,harris,29.918588,-95.631662,17,5,District
CYPRESS LAKES,harris,29.85419,-95.703051,15,5,District
CYPRESS PARK,harris,29.92274,-95.583961,20,5,District
CYPRESS RANCH,harris,29.941119,-95.719693,15,5,District
CYPRESS RIDGE,harris,29.893312,-95.604799,17,5,District
CYPRESS SPRINGS,harris,29.89285,-95.719945,17,5,District
CYPRESS WOODS,harris,29.971016,-95.681547,17,5,District
DAINGERFIELD,morris,33.014536,-94.718007,14,3,District
DALHART,hartley,36.04971,-102.504712,1,3,District
DANBURY,brazoria,29.223696,-95.341777,26,2,District
DAVIS,harris,29.783725,-95.358,21,4,District
DAWSON,navarro,31.897555,-96.710343,5,1,District
DAYTON,liberty,30.064554,-94.90533,19,4,District
DE KALB,bowie,33.507864,-94.622786,16,2,District
DE LEON,comanche,32.11548,-98.536381,10,2,District
DECATUR,wise,33.217782,-97.579184,7,3,District
DEER PARK,harris,29.689186,-95.130251,23,5,District
DEL RIO,val verde,29.383494,-100.919893,27,5,District
DEL VALLE,el paso,31.692468,-106.296371,26,4,District
DENISON,grayson,33.792047,-96.547438,5,4,District
DENTON,denton,33.224883,-97.145326,5,4,District
DENVER CITY,yoakum,32.970936,-102.837045,5,2,District
DETROIT,red river,33.669816,-95.269303,22,1,District
DEVINE,medina,29.148465,-98.91938,29,3,District
DEWEYVILLE,newton,30.268356,-93.788022,24,2,District
DIAMOND HILL-JARVIS,tarrant,32.809204,-97.336918,7,4,District
DIBOLL,angelina,31.192639,-94.768227,21,3,District
DICKINSON,galveston,29.468042,-95.03097,23,4,District
DILLEY,frio,28.675717,-99.172527,28,2,District
DIMMITT,castro,34.54398,-102.33258,6,2,District
DOBIE,harris,29.594985,-95.245842,23,5,District
DONNA,hidalgo,26.171971,-98.036422,31,5,District
DONNA NORTH,hidalgo,26.22717,-98.078801,32,4,District
DRIPPING SPRINGS,hays,30.19823,-98.100971,27,4,District
DUBLIN,erath,32.088,-98.321911,10,2,District
DULLES,fort bend,29.619752,-95.584542,20,5,District
DUMAS,moore,35.863213,-101.977726,3,4,District
DUNBAR,tarrant,32.719218,-97.231946,8,4,District
DUNCANVILLE,dallas,32.661318,-96.92954,7,5,District
EARLY,brown,31.746482,-98.931272,3,2,District
EARLY COLLEGE,webb,27.573429,-99.435233,29,5,District
EAST BERNARD,wharton,29.526093,-96.066608,26,2,District
EAST CENTRAL,bexar,29.352501,-98.295378,25,5,District
EAST CHAMBERS,chambers,29.80538,-94.380744000000007,24,2,District
EAST VIEW,williamson,30.64247,-97.618111,17,4,District
EASTERN HILLS,tarrant,32.747918,-97.232434,7,4,District
EASTLAKE,el paso,31.69585,-106.23808,2,4,District
EASTLAND,eastland,32.398545,-98.828165,10,2,District
EASTWOOD,el paso,31.771665,-106.355003,1,5,District
ECONOMEDES,hidalgo,26.309481,-98.102448,31,5,District
ECTOR,fannin,33.575836,-96.272315,19,1,District
EDCOUCH-ELSA,hidalgo,26.299566,-97.9832,32,4,District
EDGEWOOD,van zandt,32.692435,-95.874657,17,2,District
EDINBURG,hidalgo,26.263237,-98.140574,31,5,District
EDINBURG NORTH,hidalgo,26.331969,-98.158439,31,5,District
EDISON,bexar,29.472289,-98.505191,29,4,District
EDNA,jackson,28.964263,-96.652178,30,2,District
EISENHOWER,harris,29.881955,-95.47182,18,5,District
EL CAMPO,wharton,29.202698,-96.28208,24,4,District
EL DORADO,schleicher,30.863719,-100.599582,2,4,District
EL PASO,el paso,31.772886,-106.491063,1,4,District
ELDORADO,schleicher,30.863719,-100.599582,2,2,District
ELGIN,travis,30.366583,-97.404162,26,4,District
ELKHART,anderson,31.628009,-95.581854,21,2,District
ELSIK,harris,29.709904,-95.603352,19,5,District
ELYSIAN FIELDS,harrison,32.38007,-94.144732,19,2,District
ENERGY INSTITUTE,harris,29.738774,-95.348939,18,6,District
ENNIS,ellis,32.304466,-96.626794,14,4,District
ESTACADO,lubbock,33.607682,-101.8217,4,4,District
EULA,callahan,32.341429,-99.561993,10,1,District
EUSTACE,henderson,32.30296,-96.008183,12,3,District
EVADALE,jasper,30.347054,-94.076877,27,1,District
EVANT,coryell,31.473833,-98.152739,12,1,District
EVERMAN,tarrant,32.619116,-97.288494,15,4,District
FABENS,el paso,31.502079,-106.14775,2,4,District
FAIRFIELD,freestone,31.717472,-96.141402,18,3,District
FALFURRIAS,brooks,27.232359,-98.152502,31,3,District
FALLS CITY,karnes,28.980331,-98.025658,30,1,District
FANNINDEL,fannin,33.424794,-95.952791,18,1,District
FARMERSVILLE,collin,33.168884,-96.369379,9,3,District
FARWELL,parmer,34.380413,-103.03422,4,1,District
FERRIS,ellis,32.530477,-96.650167,10,3,District
FLORENCE,williamson,30.830934,-97.794784,25,2,District
FLORESVILLE,wilson,29.145744,-98.152722,30,4,District
FLOUR BLUFF,nueces,27.644397,-97.295932,31,4,District
FLOWER MOUND,denton,33.033076,-97.081547,8,5,District
FLOYDADA,floyd,33.979161,-101.346551,6,2,District
FORNEY,kaufman,32.736524,-96.468384,11,4,District
FORSAN,howard,32.11195,-101.3687,10,1,District
FORT HANCOCK,hudspeth,31.289577,-105.848962,8,1,District
FORT STOCKTON,pecos,30.901887,-102.891088,3,3,District
FOSSIL RIDGE,tarrant,32.892852,-97.295658,5,5,District
FOSTER,fort bend,29.627162,-95.810081,24,4,District
FOX TECHNICAL,bexar,29.432469,-98.495536,29,4,District
FRANKLIN,robertson,31.022579,-96.50138,1,5,District
FRANKSTON,anderson,32.06225,-95.504164,21,2,District
FREDERICKSBURG,gillespie,30.260366,-98.881777,28,4,District
FREER,duval,27.875831,-98.618783,31,2,District
FRENSHIP,lubbock,33.51793,-102.012421,4,4,District
FRIENDSWOOD,galveston,29.510802,-95.209882,23,4,District
FRIONA,parmer,34.637799,-102.730824,6,2,District
FRISCO,collin,33.131709,-96.822057,9,4,District
FROST,navarro,32.079828,-96.812699,18,1,District
FRUITVALE,van zandt,32.684515,-95.801628,20,1,District
FURR,harris,29.779371,-95.249009,21,4,District
GAINESVILLE,cooke,33.603991,-97.159367,6,3,District
GALENA PARK,harris,29.739021,-95.237427,19,4,District
GANADO,jackson,29.037716,-96.515826,30,2,District
GARDEN CITY,glasscock,31.866378,-101.48482,9,1,District
GARLAND,dallas,32.91015,-96.646812,11,5,District
GARRISON,nacogdoches,31.82812,-94.489391,20,2,District
GATESVILLE,coryell,31.432437,-97.724643,17,3,District
