school,state,county,city,lat,lon
21ST CENTURY EARLY LEARNING FOUN,tx,hidalgo,WESLACO,26.147281,-97.957689
3D ACADEMY,tx,hidalgo,DONNA,26.171576,-98.041748
3RD,tx,collin,WYLIE,33.003282,-96.536665
6TH GRADE CENTER,tx,hunt,GREENVILLE,33.124748,-96.113101
7TH H S - NORTHEAST,tx,williamson,ROUND ROCK,30.51141,-97.696991
A & M CONS,tx,brazos,COLLEGE STATION,30.591777,-96.316423
A & M CONSOLIDATED MIDDLE,tx,brazos,COLLEGE STATION,30.612149,-96.327412
A B DUNCAN EL,tx,floyd,FLOYDADA,33.975419,-101.331122
A B MCBAY EL,tx,limestone,MEXIA,31.692987,-96.473822
A C BLUNT MIDDLE,tx,san patricio,ARANSAS PASS,27.91595,-97.17082
A C JONES,tx,bee,BEEVILLE,28.419384,-97.752997
A E BUTLER INT,tx,hunt,QUINLAN,32.905894,-96.131093
A G ELDER EL,tx,johnson,JOSHUA,32.455653,-97.378107
A LEAL JR MIDDLE,tx,bexar,SAN ANTONIO,29.368974,-98.52129
A M AIKIN EL,tx,montgomery,NEW CANEY,30.176774,-95.153881
A M OCHOA EL,tx,hidalgo,DONNA,26.165312,-98.052227
A M PATE EL,tx,tarrant,FORT WORTH,32.707352,-97.253201
A MACEO SMITH NEW TECH,tx,dallas,DALLAS,32.692696,-96.765614
A N RICO EL,tx,hidalgo,WESLACO,26.18313,-97.956821
A P BEUTEL EL,tx,brazoria,LAKE JACKSON,29.033839,-95.430179999999993
A P SOLIS MIDDLE,tx,hidalgo,DONNA,26.16213,-98.058057
A V CATO EL,tx,tarrant,FORT WORTH,32.76899,-97.387511
A W BROWN - F L A EARLY CHILDHOO,tx,dallas,DALLAS,32.663571,-96.882213
A+ ACADEMY,tx,dallas,DALLAS,32.691127,-96.644073
A+ UNLIMITED POTENTIAL,tx,harris,HOUSTON,29.73171,-95.420351
A+UP UNIVERSITY,tx,harris,HOUSTON,29.73578,-95.357131
AAEP (ACADEMIC ALTERNATIVE EDUCA,tx,liberty,DAYTON,30.038623,-94.891813
AARON PARKER EL,tx,lamar,POWDERLY,33.814011,-95.521827
AB HARRISON INT,tx,collin,WYLIE,33.003315,-96.540162
ABBETT EL,tx,dallas,GARLAND,32.969609,-96.63811
ABBOTT SCHOOL,tx,hill,ABBOTT,31.883393,-97.07685
ABELL J H,tx,midland,MIDLAND,32.009693,-102.16108
ABERNATHY,tx,hale,ABERNATHY,33.83135,-101.847263
ABERNATHY DAEP,tx,hale,PLAINVIEW,34.193759,-101.712873
ABERNATHY EL,tx,hale,ABERNATHY,33.83135,-101.847263
ABERNATHY J H,tx,hale,ABERNATHY,33.83135,-101.847263
ABILENE,tx,taylor,ABILENE,32.455757,-99.755994
ABILENE BEHAVIORAL HEALTH,tx,taylor,ABILENE,32.400414,-99.739568
ABOUT FACE JJAEP,tx,el paso,EL PASO,31.858936,-106.437633
ABOUT FACE PROGRAM EL,tx,el paso,EL PASO,31.85836,-106.437681
ABRAHAM KAZEN MIDDLE,tx,bexar,SAN ANTONIO,29.329589,-98.546626
ACADEMIC BEHAVIOR SCHOOL EAST,tx,harris,HOUSTON,29.699504,-95.284477999999993
ACADEMIC BEHAVIOR SCHOOL WEST,tx,harris,HOUSTON,29.725118,-95.503027
ACADEMY,tx,bell,LITTLE RIVER,30.982934,-97.345646
ACADEMY AT CARRIE F THOMAS,tx,tarrant,NORTH RICHLAND HILLS,32.848336,-97.20546
ACADEMY EL,tx,bell,LITTLE RIVER,30.98393,-97.339721
ACADEMY FOR TECHNOLOGY ENGINEERI,tx,taylor,ABILENE,32.449,-99.714679
ACADEMY INT,tx,bell,LITTLE RIVER,30.983268,-97.349504
ACADEMY J H,tx,bell,LITTLE RIVER,30.98085,-97.349181
ACADEMY OF ACCELERATED LEARNING,tx,harris,HOUSTON,29.668098,-95.311084
ACADEMY OF CAREERS AND TECHNOLOG,tx,bexar,SAN ANTONIO,29.48471,-98.635931
ACADEMY OF CHOICE,tx,harris,HOUSTON,29.814509,-95.50371
ACADEMY OF CREATIVE ED,tx,bexar,SAN ANTONIO,29.538483,-98.419924
ACADEMY OF DALLAS,tx,dallas,DALLAS,32.687938,-96.839013
ACCELERATED INT CHARTER SCHOOL,tx,harris,HOUSTON,29.63663,-95.484791
ACCELERATED INTERDISCIPLINARY AC,tx,harris,HOUSTON,29.636384,-95.485173
ACCELERATED LEARNING CENTER,tx,nueces,CORPUS CHRISTI,27.758,-97.433301
ACHIEVE ACADEMY,tx,collin,WYLIE,33.003408,-96.536666
ACHIEVE EARLY COLLEGE,tx,hidalgo,MCALLEN,26.217535,-98.253613
ACHZIGER EL,tx,dallas,MESQUITE,32.722751,-96.551695
ACKER SPECIAL PROGRAMS CENTER,tx,collin,FRISCO,33.145649,-96.823015
ACTON EL,tx,hood,GRANBURY,32.440396,-97.731666
ACTON MIDDLE,tx,hood,GRANBURY,32.452571,-97.71441
AD WHEAT MIDDLE,tx,johnson,CLEBURNE,32.34611,-97.419567
ADA MAE FAUBION EL,tx,williamson,CEDAR PARK,30.488548,-97.831271
ADAM ELEMENTARY,tx,harris,HOUSTON,29.938536,-95.614205
ADAMS EL,tx,tarrant,ARLINGTON,32.709198,-97.072717
ADAMS EL,tx,bosque,CLEBURNE,32.073234,-97.500515
ADAMS HILL EL,tx,bexar,SAN ANTONIO,29.410163,-98.672897
ADAMS MIDDLE,tx,jim wells,ALICE,27.753693,-98.067704
ADAPTIVE BEHAVIOR,tx,liberty,LIBERTY,30.070129,-94.77197
ADAPTIVE BEHAVIOR UNIT,tx,liberty,LIBERTY,30.070083,-94.772197
ADAPTIVE BEHAVIORAL UNIT,tx,liberty,LIBERTY,30.070122,-94.772035
ADELFA BOTELLO CALLEJO EL,tx,dallas,DALLAS,32.770405,-96.686517
ADELLE TURNER EL,tx,dallas,DALLAS,32.679376,-96.840868
ADKINS MIDDLE,tx,nueces,CORPUS CHRISTI,27.79573,-97.399211
ADMIN SERVICES,tx,harris,HOUSTON,29.712213,-95.596358
ADRIAN SCHOOL,tx,oldham,ADRIAN,35.275432,-102.665172
ADULT BASIC ED,tx,collin,PLANO,33.02486,-96.696831
ADULT ED,tx,cameron,BROWNSVILLE,25.910496,-97.505243
ADULT ED,tx,tarrant,FORT WORTH,32.73105,-97.336381
ADULT LEARNING CTR,tx,taylor,ABILENE,32.437005,-99.746193
ADULT TRANSITION SERVICES,tx,travis,AUSTIN,30.272856,-97.801431
ADULT/COMMUNITY LRN CTR,tx,el paso,EL PASO,31.69433,-106.336541
ADVANCED VIRTUAL ACADEMY,tx,harris,HOUSTON,29.73223,-95.328381
ADVANTAGE ACADEMY,tx,dallas,GRAND PRAIRIE,32.71197,-97.017661
AEP CAMPUS,tx,grayson,HOWE,33.507862,-96.612544
AGNES COTTON EL,tx,bexar,SAN ANTONIO,29.46108,-98.507011
AGNEW MIDDLE,tx,dallas,MESQUITE,32.756641,-96.593973
AGUA DULCE,tx,nueces,AGUA DULCE,27.784884,-97.912488
AGUA DULCE ELEMENTARY SCHOOL,tx,nueces,AGUA DULCE,27.784884,-97.912488
AGUIRRE J H,tx,harris,HOUSTON,29.809483,-95.155986
AIA LANCASTER EL,tx,dallas,LANCASTER,32.58894,-96.742711
AIA LANCASTER MIDDLE,tx,dallas,LANCASTER,32.58894,-96.742711
AIDA C ESCOBAR EL,tx,hidalgo,PHARR,26.194585,-98.203711
AIKEN EL,tx,cameron,BROWNSVILLE,25.877889,-97.438993
AIKIN EL,tx,lamar,PARIS,33.664822,-95.51858
AIKIN EL,tx,dallas,DALLAS,32.915064,-96.722749
AIKMAN EL,tx,deaf smith,HEREFORD,34.835265,-102.387291
AIM CENTER,tx,orange,VIDOR,30.12343,-94.004061
AIM COLLEGE & CAREER PREP,tx,galveston,GALVESTON,29.29973,-94.787471
AIM MIDDLE,tx,galveston,GALVESTON,29.29973,-94.787471
AIRPORT EL,tx,hidalgo,WESLACO,26.165459,-97.973507
AKIN EL,tx,hale,HALE CENTER,34.069383,-101.853942
AKINS,tx,travis,AUSTIN,30.14988,-97.801206
ALAMO EL,tx,pecos,FORT STOCKTON,30.893011,-102.871523
ALAMO EL,tx,harris,BAYTOWN,29.792846,-94.964048
ALAMO HEIGHTS,tx,bexar,SAN ANTONIO,29.491267,-98.464634
ALAMO HEIGHTS J H,tx,bexar,SAN ANTONIO,29.501139,-98.460056
ALAMO J H,tx,midland,MIDLAND,31.994022,-102.131068
ALAMO LEADERSHIP ACADEMY,tx,bexar,SAN ANTONIO,29.36796,-98.547131
ALAMO MIDDLE,tx,hidalgo,ALAMO,26.184551,-98.133594
ALAN B SHEPARD MIDDLE,tx,bexar,SAN ANTONIO,29.354722,-98.608669
ALBA-GOLDEN,tx,wood,ALBA,32.75912,-95.586291
ALBA-GOLDEN EL,tx,wood,ALBA,32.75912,-95.586291
ALBANY JR-SR,tx,shackelford,ALBANY,32.723949,-99.289175
ALBERT & IOLA LEE DAVIS MALVERN,tx,collin,MCKINNEY,33.179709,-96.633381
ALBERT C WILLIAMS EL,tx,hunt,COMMERCE,33.235796,-95.887241
ALBERT SIDNEY JOHNSTON EL,tx,dallas,DALLAS,32.738065,-96.79295
ALBRIGHT MIDDLE,tx,harris,HOUSTON,29.708873,-95.65365
ALCOTT EL,tx,harris,HOUSTON,29.66736,-95.329781
ALDERSON EL,tx,lubbock,LUBBOCK,33.59427,-101.811061
ALDINE,tx,harris,HOUSTON,29.917093,-95.408739
ALDINE J J A E P,tx,harris,HOUSTON,29.759092,-95.359193
ALDINE MIDDLE,tx,harris,HOUSTON,29.933468,-95.355371
ALDINE NINTH GRADE SCHOOL,tx,harris,HOUSTON,29.91941,-95.410531
ALDRIDGE EL,tx,collin,RICHARDSON,32.995004,-96.730134
ALEDO,tx,parker,ALEDO,32.712426,-97.61627
ALEDO MIDDLE,tx,parker,ALEDO,32.690513,-97.604085
ALEX SANGER EL,tx,dallas,DALLAS,32.813316,-96.709836
ALEX SANGER PREPARATORY MIDDLE,tx,dallas,DALLAS,32.813755,-96.710408
ALEX W SPENCE TALENTED/GIFTED AC,tx,dallas,DALLAS,32.807301,-96.787728
ALEXANDER EL,tx,harris,HOUSTON,29.68673,-95.607968
ALEXANDER MIDDLE,tx,brazoria,PEARLAND,29.551228,-95.27586
ALFONSO BORREGO SR EL,tx,el paso,SAN ELIZARIO,31.575362,-106.262999
ALFONSO RAMIREZ EL,tx,hidalgo,EDINBURG,26.256821,-98.189172
ALFRED SORENSEN EL,tx,hidalgo,SAN JUAN,26.182283,-98.144449
ALICE,tx,jim wells,ALICE,27.755106,-98.051045
ALICE CARLSON APPLIED LRN CTR,tx,tarrant,FORT WORTH,32.71188,-97.36437
ALICE D CONTRERAS,tx,tarrant,FORT WORTH,32.688018,-97.356889
ALICE JOHNSON J H,tx,harris,CHANNELVIEW,29.800055,-95.129959
ALICE PONDER EL,tx,tarrant,MANSFIELD,32.57366,-97.144064
ALICIA R CHACON,tx,el paso,EL PASO,31.705036,-106.348686
ALIEF EARLY COLLEGE,tx,harris,HOUSTON,29.733995,-95.574174
ALIEF ISD J J A E P,tx,harris,HOUSTON,29.68442,-95.416381
ALIEF LEARNING CTR (6-12),tx,harris,HOUSTON,29.70662,-95.582289
ALIEF LEARNING CTR (K-6),tx,harris,HOUSTON,29.706597,-95.582519
ALIEF MIDDLE,tx,harris,HOUSTON,29.708664,-95.594898
ALIEF MONTESSORI COMMUNITY SCHOO,tx,harris,HOUSTON,29.71196,-95.591291
ALKEK EL,tx,bandera,BANDERA,29.702345,-99.059887
ALLAN EL,tx,travis,AUSTIN,30.256059,-97.697161
ALLAN K & CAROLYN H BIRD EDUCATI,tx,collin,PLANO,33.025195,-96.69698
ALLEN,tx,collin,ALLEN,33.109586,-96.660852
ALLEN & WILLIAM ARNOLD EL,tx,hidalgo,PHARR,26.22515,-98.185901
ALLEN EL,tx,nueces,CORPUS CHRISTI,27.77577,-97.41066
