school,state,county,city,lat,lon
ALLEN EL,tx,denton,FRISCO,33.125626,-96.847886
ALLEN EL,tx,bexar,SAN ANTONIO,29.387274,-98.638962
ALLIENE MULLENDORE EL,tx,tarrant,NORTH RICHLAND HILLS,32.825384,-97.236371
ALLISON EL,tx,travis,AUSTIN,30.236175,-97.691591
ALLISON STEELE ENHANCED LEARNING,tx,guadalupe,SCHERTZ,29.552823,-98.276789
ALMA BREWER STRAWN EL,tx,caldwell,DALE,30.000778,-97.616685
ALMEDA EL,tx,harris,HOUSTON,29.59984,-95.418951
ALOE EL,tx,victoria,VICTORIA,28.768563,-97.073933
ALONSO S PERALES EL,tx,bexar,SAN ANTONIO,29.409185,-98.548266
ALPHA,tx,montgomery,MAGNOLIA,30.203643,-95.756663
ALPHA CHARTER SCHOOL,tx,dallas,GARLAND,32.913584,-96.63931
ALPINE,tx,brewster,ALPINE,30.371983,-103.665798
ALPINE EL,tx,brewster,ALPINE,30.362675,-103.664251
ALPINE MIDDLE,tx,brewster,ALPINE,30.358704,-103.676771
ALTA LOMA EL,tx,tom green,SAN ANGELO,31.462002,-100.483146
ALTA VISTA EL,tx,el paso,EL PASO,31.784178,-106.451938
ALTA VISTA EL,tx,mclennan,WACO,31.51224,-97.136814
ALTAMIRA ACADEMY,tx,travis,AUSTIN,30.17917,-97.779821
ALTER,tx,bexar,SAN ANTONIO,29.514665,-98.494909
ALTER DISCIPLINE CAMPUS,tx,tarrant,FORT WORTH,32.863191,-97.407664
ALTER ED CTR,tx,ector,ODESSA,31.91427,-102.380421
ALTER ED PROG,tx,mcculloch,BRADY,31.126611,-99.339736
ALTER ED PROG,tx,tarrant,EULESS,32.821766,-97.136189
ALTER IMPACT CTR,tx,hays,BUDA,30.094334,-97.891228
ALTER LEARNING CTR,tx,limestone,GROESBECK,31.530588,-96.529472
ALTER LEARNING CTR,tx,johnson,KEENE,32.393863,-97.310429
ALTER MIDDLE,tx,bexar,SAN ANTONIO,29.514796,-98.49508
ALTER SCH,tx,gillespie,FREDERICKSBURG,30.258075,-98.885166
ALTER SCH,tx,bexar,CONVERSE,29.51042,-98.309067
ALTER SCH,tx,angelina,LUFKIN,31.409189,-94.725103
ALTER SCH,tx,jefferson,PORT NECHES,29.990854,-93.966112
ALTER SCHOOL,tx,wood,ALBA,32.75912,-95.586291
ALTERNATIVE,tx,bexar,SAN ANTONIO,29.437635,-98.668004
ALTERNATIVE CENTER,tx,bexar,SAN ANTONIO,29.41862,-98.559877
ALTERNATIVE EDUCATION PROGRAM,tx,montgomery,MAGNOLIA,30.203643,-95.756663
ALTERNATIVE EDUCATION SCHOOL,tx,jefferson,NEDERLAND,29.972968,-93.987512
ALTERNATIVE EL,tx,bexar,SAN ANTONIO,29.48777,-98.423721
ALTERNATIVE LEARNING CENTER,tx,travis,AUSTIN,30.269351,-97.709185
ALTERNATIVE LEARNING CENTER,tx,fort bend,ROSENBERG,29.55296,-95.8096
ALTERNATIVE LEARNING CTR-EAST,tx,harris,HOUSTON,29.934324,-95.565063
ALTERNATIVE LEARNING CTR - WEST,tx,harris,KATY,29.868502,-95.706434
ALTERNATIVE MIDDLE NORTH,tx,bexar,SAN ANTONIO,29.554589,-98.586186
ALTERNATIVE MIDDLE SOUTH,tx,bexar,SAN ANTONIO,29.454648,-98.589088
ALTERNATIVE SCHOOL,tx,chambers,MONT BELVIEU,29.837776,-94.851187
ALTERNATIVE SCHOOL,tx,bexar,SAN ANTONIO,29.330183,-98.543135
ALTERNATIVE SCHOOL,tx,wilson,FLORESVILLE,29.152998,-98.156784
ALTO,tx,cherokee,ALTO,31.660167,-95.073495
ALTO BONITO EL,tx,starr,RIO GRANDE CITY,26.31112,-98.639866
ALTO EL,tx,cherokee,ALTO,31.660272,-95.074697
ALTO MIDDLE,tx,cherokee,ALTO,31.659998,-95.074466
ALTON BOWEN EL,tx,brazos,BRYAN,30.655285,-96.304057
ALTON BOYD EL,tx,collin,ALLEN,33.08523,-96.667458
ALTON EL,tx,washington,BRENHAM,30.15835,-96.395531
ALTON EL,tx,hidalgo,ALTON,26.288447,-98.309827
ALTON MEMORIAL J H,tx,hidalgo,ALTON,26.286926,-98.331976
ALVARADO,tx,johnson,ALVARADO,32.390142,-97.206673
ALVARADO EL-NORTH,tx,johnson,ALVARADO,32.431012,-97.216126
ALVARADO EL-SOUTH,tx,johnson,ALVARADO,32.403081,-97.199704
ALVARADO INT,tx,johnson,ALVARADO,32.400192,-97.193908
ALVARADO J H,tx,johnson,ALVARADO,32.418423,-97.213383
ALVAREZ EL,tx,hidalgo,MCALLEN,26.213006,-98.249223
ALVIN,tx,brazoria,ALVIN,29.417432,-95.25215
ALVIN EL,tx,brazoria,ALVIN,29.40187,-95.26148
ALVIN J H,tx,brazoria,ALVIN,29.405351,-95.266621
ALVIN PRI,tx,brazoria,ALVIN,29.404219,-95.264111
ALVIS C STORY EL,tx,collin,ALLEN,33.094894,-96.629657
ALVORD,tx,wise,ALVORD,33.354728,-97.7055
ALVORD EL,tx,wise,ALVORD,33.359836,-97.7021
ALVORD MIDDLE,tx,wise,ALVORD,33.357512,-97.708921
AMADOR R RODRIGUEZ JUVENILE BOOT,tx,cameron,SAN BENITO,26.131199,-97.628474
AMANDA GARZA-PENA EL,tx,hidalgo,SAN JUAN,26.206572,-98.144315
AMANDA ROCHELL EL,tx,rockwall,ROCKWALL,32.899099,-96.456848
AMARILLO,tx,randall,AMARILLO,35.166975,-101.905065
AMARILLO AREA CTR FOR ADVANCED L,tx,potter,AMARILLO,35.226542,-101.880341
AMBASSADORS PREPARATORY ACADEMY,tx,galveston,GALVESTON,29.27433,-94.818201
AMBER TERRACE DISCOVERY & DESIGN,tx,dallas,DESOTO,32.57698,-96.853261
AMBER TERRACE EL,tx,dallas,DESOTO,32.577149,-96.853037
AMELIA EARHART LEARNING CENTER,tx,dallas,DALLAS,32.785138,-96.874809
AMELIA EL,tx,jefferson,BEAUMONT,30.070287,-94.189018
AMERICAS,tx,el paso,EL PASO,31.729613,-106.277371
AMHERST SCHOOL,tx,lamb,AMHERST,34.017057,-102.409638
AMI KIDS RIO GRANDE VALLEY (FKA,tx,cameron,LOS FRESNOS,26.160892,-97.353966
AMIGOS POR VIDA-FRIENDS FOR LIFE,tx,harris,HOUSTON,29.722918,-95.478456
AMOS EL,tx,tarrant,ARLINGTON,32.694322,-97.091838
AMPARO GUTIERREZ EL,tx,webb,LAREDO,27.556313,-99.488439
AMY PARKS-HEATH EL,tx,rockwall,HEATH,32.83819,-96.472223
ANAHUAC,tx,chambers,ANAHUAC,29.770692,-94.676059
ANAHUAC EL,tx,chambers,ANAHUAC,29.763501,-94.67196
ANAHUAC MIDDLE,tx,chambers,ANAHUAC,29.770658,-94.679343
ANDERSON,tx,travis,AUSTIN,30.375754,-97.753617
ANDERSON-SHIRO EL,tx,grimes,ANDERSON,30.48792,-95.995621
ANDERSON-SHIRO JR/SR,tx,grimes,ANDERSON,30.488261,-95.99394
ANDERSON ACADEMY,tx,harris,HOUSTON,29.8684,-95.430028
ANDERSON EL,tx,tarrant,ARLINGTON,32.723809,-97.049951
ANDERSON EL,tx,montgomery,CONROE,30.3254,-95.44395
ANDERSON EL,tx,collin,PLANO,33.10621,-96.74588
ANDERSON EL,tx,harris,HOUSTON,29.64823,-95.487988
ANDERSON EL,tx,angelina,LUFKIN,31.286996,-94.723443
ANDERSON EL,tx,harris,SPRING,30.037228,-95.333668
ANDERSON MILL EL,tx,williamson,AUSTIN,30.452698,-97.805996
ANDRE EL,tx,harris,CYPRESS,29.897285,-95.719911
ANDRESS,tx,el paso,EL PASO,31.910131,-106.416685
ANDREW JACKSON MIDDLE,tx,dallas,GRAND PRAIRIE,32.686568,-97.004654
ANDREWS,tx,andrews,ANDREWS,32.325672,-102.56782
ANDREWS EDUCATION CENTER,tx,andrews,ANDREWS,32.32137,-102.551591
ANDREWS EL,tx,travis,AUSTIN,30.317783,-97.680186
ANDREWS EL,tx,san patricio,PORTLAND,27.892857,-97.332993
ANDREWS EL,tx,collin,PLANO,33.091668,-96.739811
ANDREWS MIDDLE,tx,andrews,ANDREWS,32.323708,-102.551176
ANDY DEKANEY,tx,harris,HOUSTON,30.018579,-95.419214
ANGELA GERUSA LEAL EL,tx,cameron,SAN BENITO,26.075416,-97.638737
ANGELINA COOPERATIVE EARLY COLLE,tx,angelina,LUFKIN,31.338994,-94.730015
ANGLETON,tx,brazoria,ANGLETON,29.199661,-95.416688
ANGLETON J H SCHOOL,tx,brazoria,ANGLETON,29.193923,-95.419317
ANITA SCOTT EL,tx,rockwall,ROYSE CITY,32.96155,-96.340722
ANN BROCK EL AT OAK GROVE,tx,tarrant,FORT WORTH,32.58295,-97.294671
ANN M GARCIA-ENRIQUEZ MIDDLE,tx,el paso,SAN ELIZARIO,31.59055,-106.273789
ANN RICHARDS MIDDLE,tx,dallas,DALLAS,32.771445,-96.665504
ANN RICHARDS MIDDLE,tx,hidalgo,MISSION,26.24909,-98.399651
ANN WHITNEY EL,tx,hamilton,HAMILTON,31.701581,-98.126444
ANNA,tx,collin,ANNA,33.360926,-96.550882
ANNA ISD EARLY CHILDHOOD CENTER,tx,collin,ANNA,33.344825,-96.548622
ANNA MAY DAULTON EL,tx,tarrant,GRAND PRAIRIE,32.5896,-97.0383
ANNA MIDDLE,tx,collin,ANNA,33.36045,-96.553081
ANNE FRANK EL,tx,dallas,DALLAS,32.947559,-96.817886
ANNE FRANK INSPIRE ACADEMY,tx,bexar,SAN ANTONIO,29.547006,-98.66048
ANNE L MAGEE EL,tx,hidalgo,EDINBURG,26.336655,-98.19814
ANNE MCCORMICK SULLIVAN EL,tx,fort bend,SUGAR LAND,29.540647,-95.593858
ANNETTE PERRY EL,tx,johnson,MANSFIELD,32.5446,-97.119451
ANNIE PURL EL,tx,williamson,GEORGETOWN,30.627875,-97.665218
ANNIE SIMS EL,tx,titus,MOUNT PLEASANT,33.156492,-94.943821
ANNIE WEBB BLANTON EL,tx,dallas,DALLAS,32.751082,-96.669071
ANNUNCIATION MATERNITY HOME,tx,williamson,GEORGETOWN,30.715235,-97.676046
ANSON,tx,jones,ANSON,32.752976,-99.895915
ANSON EL,tx,jones,ANSON,32.758527,-99.90108
ANSON JONES EL,tx,brazos,BRYAN,30.663966,-96.385353
ANSON JONES EL,tx,dallas,DALLAS,32.742683,-96.884455
ANSON MIDDLE,tx,jones,ANSON,32.756784,-99.900698
ANTHON EL,tx,uvalde,UVALDE,29.22535,-99.795961
ANTHONY,tx,el paso,ANTHONY,31.99183,-106.597301
ANTHONY EL,tx,el paso,ANTHONY,31.995667,-106.601444
ANTHONY MIDDLE,tx,el paso,ANTHONY,31.993041,-106.600323
ANTHONY MIDDLE,tx,harris,CYRESS,29.92646,-95.703671
ANTON P E P,tx,cochran,MORTON,33.721572,-102.764696
ANTON SCHOOL,tx,hockley,ANTON,33.814793,-102.16247
ANTONIO GONZALEZ MIDDLE,tx,webb,LAREDO,27.500337,-99.435039
AOY EL,tx,el paso,EL PASO,31.751699,-106.481816
APACHE EL,tx,pecos,FORT STOCKTON,30.902549,-102.881026
APOLLO,tx,harris,CHANNELVIEW,29.79407,-95.142671000000007
APOLLO J H,tx,dallas,RICHARDSON,32.952088,-96.695146
APPLE SPRINGS,tx,trinity,APPLE SPRINGS,31.225009,-94.970723
APPLE SPRINGS EL,tx,trinity,APPLE SPRINGS,31.225009,-94.970723
APPLIED LEARNING ACAD,tx,tarrant,FORT WORTH,32.720577,-97.437861
AQUILLA SCHOOL,tx,hill,AQUILLA,31.854315,-97.218565
ARABIC IMMERSION MAGNET SCHOOL,tx,harris,HOUSTON,29.81139,-95.413391
ARAGON MIDDLE,tx,harris,HOUSTON,29.904225,-95.666474
ARANSAS PASS,tx,san patricio,ARANSAS PASS,27.913187,-97.167905
ARANSAS PASS JJAEP,tx,san patricio,ARANSAS PASS,27.90289,-97.147911
ARAPAHO CLASSICAL MAGNET,tx,dallas,RICHARDSON,32.961627,-96.763452
ARBOR CREEK MIDDLE,tx,denton,CARROLLTON,33.034888,-96.873256
ARCADIA PARK EL,tx,dallas,DALLAS,32.758932,-96.910645
ARCHER CITY,tx,archer,ARCHER CITY,33.589093,-98.630853
ARCHER CITY EL,tx,archer,ARCHER CITY,33.588601,-98.63108
ARDEN ROAD EL,tx,randall,AMARILLO,35.128809,-101.91447
ARGYLE,tx,denton,ARGYLE,33.107167,-97.185452
ARGYLE INT,tx,denton,ARGYLE,33.12477,-97.186851
ARGYLE MIDDLE,tx,denton,ARGYLE,33.107167,-97.185452
ARISTOI CLASSICAL ACADEMY,tx,harris,KATY,29.797051,-95.822066
ARISTOI CLASSICAL UPPER SCHOOL,tx,harris,KATY,29.78711,-95.820801
ARIZONA FLEMING EL,tx,fort bend,HOUSTON,29.677435,-95.650517
ARLINGTON,tx,tarrant,ARLINGTON,32.72031,-97.11584
ARLINGTON CLASSICS ACADEMY - MID,tx,tarrant,ARLINGTON,32.66256,-97.151061
ARLINGTON CLASSICS ACADEMY - PRI,tx,tarrant,ARLINGTON,32.70582,-97.153441
ARLINGTON CLASSICS ACADEMY -INTE,tx,tarrant,ARLINGTON,32.66256,-97.151061
ARLINGTON COLLEGIATE,tx,tarrant,ARLINGTON,32.70982,-97.124471
ARLINGTON HEIGHTS,tx,tarrant,FORT WORTH,32.730843,-97.385965
ARLINGTON PARK EARLY CHILDHOOD C,tx,dallas,DALLAS,32.81494,-96.852011
ARLON R SEAY EL,tx,comal,SPRING BRANCH,29.795137,-98.433564
ARLYNE & ALAN WEBER EL,tx,harris,HOUSTON,29.569861,-95.223143
ARMAND BAYOU EL,tx,harris,HOUSTON,29.593728,-95.114462
ARMANDO CERNA EL,tx,maverick,EAGLE PASS,28.68938,-100.47172
ARMANDO CHAPA MIDDLE,tx,hays,KYLE,30.020977,-97.83298
ARMANDO CUELLAR MIDDLE,tx,hidalgo,WESLACO,26.148699,-97.981112
ARMENDARIZ MIDDLE,tx,el paso,EL PASO,31.780617,-106.471928
ARMSTRONG EL,tx,montgomery,CONROE,30.295283,-95.459058
ARMSTRONG ELEMENTARY,tx,dallas,DALLAS,32.834056,-96.791587
ARMSTRONG MIDDLE,tx,collin,PLANO,33.02278,-96.658924
ARNOLD EL,tx,bexar,SAN ANTONIO,29.49153,-98.537051
ARNOLD MIDDLE,tx,harris,CYPRESS,29.939217,-95.650977
ARNOLDO CANTU SR EL,tx,hidalgo,SAN JUAN,26.223549,-98.148267
ARP,tx,smith,ARP,32.229632,-95.059236
ARP EL,tx,smith,ARP,32.236853,-95.070148
ARP J H,tx,smith,ARP,32.228738,-95.056881
ARROW ACADEMY - CHAMPIONS ACADEM,tx,harris,HOUSTON,30.00261,-95.458281
ARROW ACADEMY - FORGE ACADEMY,tx,harris,HOUSTON,29.70417,-95.367841
ARROW ACADEMY - HARVEST PREPARAT,tx,harris,HOUSTON,29.95484,-95.397481
ARROW ACADEMY - LAS AMERICAS LEA,tx,harris,HOUSTON,29.718834,-95.484922
ARROW ACADEMY - LIBERATION ACADE,tx,fort bend,MISSOURI CITY,29.61228,-95.544491
ARROW ACADEMY - MCCORMACK HONORS,tx,harris,HOUSTON,29.666326,-95.329708
ARROW ACADEMY - ODYSSEY PREPARAT,tx,harris,HOUSTON,29.87101,-95.492391
ARROW ACADEMY - SAVE OUR STREETS,tx,brazos,BRYAN,30.65676,-96.380821
ART AND PAT GOFORTH EL,tx,galveston,LEAGUE CITY,29.510473,-95.062404
ARTHUR H MCNEIL EL,tx,collin,MCKINNEY,33.161773,-96.664581
ARTHUR KRAMER EL,tx,dallas,DALLAS,32.90162,-96.783571
ARTHUR L DAVILA MIDDLE,tx,brazos,BRYAN,30.71808,-96.408551
ARTHUR MILLER CAREER CENTER,tx,harris,KATY,29.795795,-95.809423
