school,county,city,lat,lon
21ST CENTURY EARLY LEARNING FOUN,hidalgo,WESLACO,26.147281,-97.957689
3D ACADEMY,hidalgo,DONNA,26.171576,-98.041748
3RD,collin,WYLIE,33.003282,-96.536665
6TH GRADE CENTER,hunt,GREENVILLE,33.124748,-96.113101
7TH H S - NORTHEAST,williamson,ROUND ROCK,30.51141,-97.696991
A & M CONS,brazos,COLLEGE STATION,30.591777,-96.316423
A & M CONSOLIDATED MIDDLE,brazos,COLLEGE STATION,30.612149,-96.327412
A B DUNCAN EL,floyd,FLOYDADA,33.975419,-101.331122
A B MCBAY EL,limestone,MEXIA,31.692987,-96.473822
A C BLUNT MIDDLE,san patricio,ARANSAS PASS,27.91595,-97.17082
A C JONES,bee,BEEVILLE,28.419384,-97.752997
A E BUTLER INT,hunt,QUINLAN,32.905894,-96.131093
A G ELDER EL,johnson,JOSHUA,32.455653,-97.378107
A LEAL JR MIDDLE,bexar,SAN ANTONIO,29.368974,-98.52129
A M AIKIN EL,montgomery,NEW CANEY,30.176774,-95.153881
A M OCHOA EL,hidalgo,DONNA,26.165312,-98.052227
A M PATE EL,tarrant,FORT WORTH,32.707352,-97.253201
A MACEO SMITH NEW TECH,dallas,DALLAS,32.692696,-96.765614
A N RICO EL,hidalgo,WESLACO,26.18313,-97.956821
A P BEUTEL EL,brazoria,LAKE JACKSON,29.033839,-95.430179999999993
A P SOLIS MIDDLE,hidalgo,DONNA,26.16213,-98.058057
A V CATO EL,tarrant,FORT WORTH,32.76899,-97.387511
A W BROWN - F L A EARLY CHILDHOO,dallas,DALLAS,32.663571,-96.882213
A+ ACADEMY,dallas,DALLAS,32.691127,-96.644073
A+ UNLIMITED POTENTIAL,harris,HOUSTON,29.73171,-95.420351
A+UP UNIVERSITY,harris,HOUSTON,29.73578,-95.357131
AAEP (ACADEMIC ALTERNATIVE EDUCA,liberty,DAYTON,30.038623,-94.891813
AARON PARKER EL,lamar,POWDERLY,33.814011,-95.521827
AB HARRISON INT,collin,WYLIE,33.003315,-96.540162
ABBETT EL,dallas,GARLAND,32.969609,-96.63811
ABBOTT SCHOOL,hill,ABBOTT,31.883393,-97.07685
ABELL J H,midland,MIDLAND,32.009693,-102.16108
ABERNATHY,hale,ABERNATHY,33.83135,-101.847263
ABERNATHY DAEP,hale,PLAINVIEW,34.193759,-101.712873
ABERNATHY EL,hale,ABERNATHY,33.83135,-101.847263
ABERNATHY J H,hale,ABERNATHY,33.83135,-101.847263
ABILENE,taylor,ABILENE,32.455757,-99.755994
ABILENE BEHAVIORAL HEALTH,taylor,ABILENE,32.400414,-99.739568
ABOUT FACE JJAEP,el paso,EL PASO,31.858936,-106.437633
ABOUT FACE PROGRAM EL,el paso,EL PASO,31.85836,-106.437681
ABRAHAM KAZEN MIDDLE,bexar,SAN ANTONIO,29.329589,-98.546626
ACADEMIC BEHAVIOR SCHOOL EAST,harris,HOUSTON,29.699504,-95.284477999999993
ACADEMIC BEHAVIOR SCHOOL WEST,harris,HOUSTON,29.725118,-95.503027
ACADEMY,bell,LITTLE RIVER,30.982934,-97.345646
ACADEMY AT CARRIE F THOMAS,tarrant,NORTH RICHLAND HILLS,32.848336,-97.20546
ACADEMY EL,bell,LITTLE RIVER,30.98393,-97.339721
ACADEMY FOR TECHNOLOGY ENGINEERI,taylor,ABILENE,32.449,-99.714679
ACADEMY INT,bell,LITTLE RIVER,30.983268,-97.349504
ACADEMY J H,bell,LITTLE RIVER,30.98085,-97.349181
ACADEMY OF ACCELERATED LEARNING,harris,HOUSTON,29.668098,-95.311084
ACADEMY OF CAREERS AND TECHNOLOG,bexar,SAN ANTONIO,29.48471,-98.635931
ACADEMY OF CHOICE,harris,HOUSTON,29.814509,-95.50371
ACADEMY OF CREATIVE ED,bexar,SAN ANTONIO,29.538483,-98.419924
ACADEMY OF DALLAS,dallas,DALLAS,32.687938,-96.839013
ACCELERATED INT CHARTER SCHOOL,harris,HOUSTON,29.63663,-95.484791
ACCELERATED INTERDISCIPLINARY AC,harris,HOUSTON,29.636384,-95.485173
ACCELERATED LEARNING CENTER,nueces,CORPUS CHRISTI,27.758,-97.433301
ACHIEVE ACADEMY,collin,WYLIE,33.003408,-96.536666
ACHIEVE EARLY COLLEGE,hidalgo,MCALLEN,26.217535,-98.253613
ACHZIGER EL,dallas,MESQUITE,32.722751,-96.551695
ACKER SPECIAL PROGRAMS CENTER,collin,FRISCO,33.145649,-96.823015
ACTON EL,hood,GRANBURY,32.440396,-97.731666
ACTON MIDDLE,hood,GRANBURY,32.452571,-97.71441
AD WHEAT MIDDLE,johnson,CLEBURNE,32.34611,-97.419567
ADA MAE FAUBION EL,williamson,CEDAR PARK,30.488548,-97.831271
ADAM ELEMENTARY,harris,HOUSTON,29.938536,-95.614205
ADAMS EL,tarrant,ARLINGTON,32.709198,-97.072717
ADAMS EL,bosque,CLEBURNE,32.073234,-97.500515
ADAMS HILL EL,bexar,SAN ANTONIO,29.410163,-98.672897
ADAMS MIDDLE,jim wells,ALICE,27.753693,-98.067704
ADAPTIVE BEHAVIOR,liberty,LIBERTY,30.070129,-94.77197
ADAPTIVE BEHAVIOR UNIT,liberty,LIBERTY,30.070083,-94.772197
ADAPTIVE BEHAVIORAL UNIT,liberty,LIBERTY,30.070122,-94.772035
ADELFA BOTELLO CALLEJO EL,dallas,DALLAS,32.770405,-96.686517
ADELLE TURNER EL,dallas,DALLAS,32.679376,-96.840868
ADKINS MIDDLE,nueces,CORPUS CHRISTI,27.79573,-97.399211
ADMIN SERVICES,harris,HOUSTON,29.712213,-95.596358
ADRIAN SCHOOL,oldham,ADRIAN,35.275432,-102.665172
ADULT BASIC ED,collin,PLANO,33.02486,-96.696831
ADULT ED,cameron,BROWNSVILLE,25.910496,-97.505243
ADULT ED,tarrant,FORT WORTH,32.73105,-97.336381
ADULT LEARNING CTR,taylor,ABILENE,32.437005,-99.746193
ADULT TRANSITION SERVICES,travis,AUSTIN,30.272856,-97.801431
ADULT/COMMUNITY LRN CTR,el paso,EL PASO,31.69433,-106.336541
ADVANCED VIRTUAL ACADEMY,harris,HOUSTON,29.73223,-95.328381
ADVANTAGE ACADEMY,dallas,GRAND PRAIRIE,32.71197,-97.017661
AEP CAMPUS,grayson,HOWE,33.507862,-96.612544
AGNES COTTON EL,bexar,SAN ANTONIO,29.46108,-98.507011
AGNEW MIDDLE,dallas,MESQUITE,32.756641,-96.593973
AGUA DULCE,nueces,AGUA DULCE,27.784884,-97.912488
AGUA DULCE ELEMENTARY SCHOOL,nueces,AGUA DULCE,27.784884,-97.912488
AGUIRRE J H,harris,HOUSTON,29.809483,-95.155986
AIA LANCASTER EL,dallas,LANCASTER,32.58894,-96.742711
AIA LANCASTER MIDDLE,dallas,LANCASTER,32.58894,-96.742711
AIDA C ESCOBAR EL,hidalgo,PHARR,26.194585,-98.203711
AIKEN EL,cameron,BROWNSVILLE,25.877889,-97.438993
AIKIN EL,lamar,PARIS,33.664822,-95.51858
AIKIN EL,dallas,DALLAS,32.915064,-96.722749
AIKMAN EL,deaf smith,HEREFORD,34.835265,-102.387291
AIM CENTER,orange,VIDOR,30.12343,-94.004061
AIM COLLEGE & CAREER PREP,galveston,GALVESTON,29.29973,-94.787471
AIM MIDDLE,galveston,GALVESTON,29.29973,-94.787471
AIRPORT EL,hidalgo,WESLACO,26.165459,-97.973507
AKIN EL,hale,HALE CENTER,34.069383,-101.853942
AKINS,travis,AUSTIN,30.14988,-97.801206
ALAMO EL,pecos,FORT STOCKTON,30.893011,-102.871523
ALAMO EL,harris,BAYTOWN,29.792846,-94.964048
ALAMO HEIGHTS,bexar,SAN ANTONIO,29.491267,-98.464634
ALAMO HEIGHTS J H,bexar,SAN ANTONIO,29.501139,-98.460056
ALAMO J H,midland,MIDLAND,31.994022,-102.131068
ALAMO LEADERSHIP ACADEMY,bexar,SAN ANTONIO,29.36796,-98.547131
ALAMO MIDDLE,hidalgo,ALAMO,26.184551,-98.133594
ALAN B SHEPARD MIDDLE,bexar,SAN ANTONIO,29.354722,-98.608669
ALBA-GOLDEN,wood,ALBA,32.75912,-95.586291
ALBA-GOLDEN EL,wood,ALBA,32.75912,-95.586291
ALBANY JR-SR,shackelford,ALBANY,32.723949,-99.289175
ALBERT & IOLA LEE DAVIS MALVERN,collin,MCKINNEY,33.179709,-96.633381
ALBERT C WILLIAMS EL,hunt,COMMERCE,33.235796,-95.887241
ALBERT SIDNEY JOHNSTON EL,dallas,DALLAS,32.738065,-96.79295
ALBRIGHT MIDDLE,harris,HOUSTON,29.708873,-95.65365
ALCOTT EL,harris,HOUSTON,29.66736,-95.329781
ALDERSON EL,lubbock,LUBBOCK,33.59427,-101.811061
ALDINE,harris,HOUSTON,29.917093,-95.408739
ALDINE J J A E P,harris,HOUSTON,29.759092,-95.359193
ALDINE MIDDLE,harris,HOUSTON,29.933468,-95.355371
ALDINE NINTH GRADE SCHOOL,harris,HOUSTON,29.91941,-95.410531
ALDRIDGE EL,collin,RICHARDSON,32.995004,-96.730134
ALEDO,parker,ALEDO,32.712426,-97.61627
ALEDO MIDDLE,parker,ALEDO,32.690513,-97.604085
ALEX SANGER EL,dallas,DALLAS,32.813316,-96.709836
ALEX SANGER PREPARATORY MIDDLE,dallas,DALLAS,32.813755,-96.710408
ALEX W SPENCE TALENTED/GIFTED AC,dallas,DALLAS,32.807301,-96.787728
ALEXANDER EL,harris,HOUSTON,29.68673,-95.607968
ALEXANDER MIDDLE,brazoria,PEARLAND,29.551228,-95.27586
ALFONSO BORREGO SR EL,el paso,SAN ELIZARIO,31.575362,-106.262999
ALFONSO RAMIREZ EL,hidalgo,EDINBURG,26.256821,-98.189172
ALFRED SORENSEN EL,hidalgo,SAN JUAN,26.182283,-98.144449
ALICE,jim wells,ALICE,27.755106,-98.051045
ALICE CARLSON APPLIED LRN CTR,tarrant,FORT WORTH,32.71188,-97.36437
ALICE D CONTRERAS,tarrant,FORT WORTH,32.688018,-97.356889
ALICE JOHNSON J H,harris,CHANNELVIEW,29.800055,-95.129959
ALICE PONDER EL,tarrant,MANSFIELD,32.57366,-97.144064
ALICIA R CHACON,el paso,EL PASO,31.705036,-106.348686
ALIEF EARLY COLLEGE,harris,HOUSTON,29.733995,-95.574174
ALIEF ISD J J A E P,harris,HOUSTON,29.68442,-95.416381
ALIEF LEARNING CTR (6-12),harris,HOUSTON,29.70662,-95.582289
ALIEF LEARNING CTR (K-6),harris,HOUSTON,29.706597,-95.582519
ALIEF MIDDLE,harris,HOUSTON,29.708664,-95.594898
ALIEF MONTESSORI COMMUNITY SCHOO,harris,HOUSTON,29.71196,-95.591291
ALKEK EL,bandera,BANDERA,29.702345,-99.059887
ALLAN EL,travis,AUSTIN,30.256059,-97.697161
ALLAN K & CAROLYN H BIRD EDUCATI,collin,PLANO,33.025195,-96.69698
ALLEN,collin,ALLEN,33.109586,-96.660852
ALLEN & WILLIAM ARNOLD EL,hidalgo,PHARR,26.22515,-98.185901
ALLEN EL,nueces,CORPUS CHRISTI,27.77577,-97.41066
ALLEN EL,denton,FRISCO,33.125626,-96.847886
ALLEN EL,bexar,SAN ANTONIO,29.387274,-98.638962
ALLIENE MULLENDORE EL,tarrant,NORTH RICHLAND HILLS,32.825384,-97.236371
ALLISON EL,travis,AUSTIN,30.236175,-97.691591
ALLISON STEELE ENHANCED LEARNING,guadalupe,SCHERTZ,29.552823,-98.276789
ALMA BREWER STRAWN EL,caldwell,DALE,30.000778,-97.616685
ALMEDA EL,harris,HOUSTON,29.59984,-95.418951
ALOE EL,victoria,VICTORIA,28.768563,-97.073933
ALONSO S PERALES EL,bexar,SAN ANTONIO,29.409185,-98.548266
ALPHA,montgomery,MAGNOLIA,30.203643,-95.756663
ALPHA CHARTER SCHOOL,dallas,GARLAND,32.913584,-96.63931
ALPINE,brewster,ALPINE,30.371983,-103.665798
ALPINE EL,brewster,ALPINE,30.362675,-103.664251
ALPINE MIDDLE,brewster,ALPINE,30.358704,-103.676771
ALTA LOMA EL,tom green,SAN ANGELO,31.462002,-100.483146
ALTA VISTA EL,el paso,EL PASO,31.784178,-106.451938
ALTA VISTA EL,mclennan,WACO,31.51224,-97.136814
ALTAMIRA ACADEMY,travis,AUSTIN,30.17917,-97.779821
ALTER,bexar,SAN ANTONIO,29.514665,-98.494909
ALTER DISCIPLINE CAMPUS,tarrant,FORT WORTH,32.863191,-97.407664
ALTER ED CTR,ector,ODESSA,31.91427,-102.380421
ALTER ED PROG,mcculloch,BRADY,31.126611,-99.339736
ALTER ED PROG,tarrant,EULESS,32.821766,-97.136189
ALTER IMPACT CTR,hays,BUDA,30.094334,-97.891228
ALTER LEARNING CTR,limestone,GROESBECK,31.530588,-96.529472
ALTER LEARNING CTR,johnson,KEENE,32.393863,-97.310429
ALTER MIDDLE,bexar,SAN ANTONIO,29.514796,-98.49508
ALTER SCH,gillespie,FREDERICKSBURG,30.258075,-98.885166
ALTER SCH,bexar,CONVERSE,29.51042,-98.309067
ALTER SCH,angelina,LUFKIN,31.409189,-94.725103
ALTER SCH,jefferson,PORT NECHES,29.990854,-93.966112
ALTER SCHOOL,wood,ALBA,32.75912,-95.586291
ALTERNATIVE,bexar,SAN ANTONIO,29.437635,-98.668004
ALTERNATIVE CENTER,bexar,SAN ANTONIO,29.41862,-98.559877
ALTERNATIVE EDUCATION PROGRAM,montgomery,MAGNOLIA,30.203643,-95.756663
ALTERNATIVE EDUCATION SCHOOL,jefferson,NEDERLAND,29.972968,-93.987512
ALTERNATIVE EL,bexar,SAN ANTONIO,29.48777,-98.423721
ALTERNATIVE LEARNING CENTER,travis,AUSTIN,30.269351,-97.709185
ALTERNATIVE LEARNING CENTER,fort bend,ROSENBERG,29.55296,-95.8096
ALTERNATIVE LEARNING CTR-EAST,harris,HOUSTON,29.934324,-95.565063
ALTERNATIVE LEARNING CTR - WEST,harris,KATY,29.868502,-95.706434
ALTERNATIVE MIDDLE NORTH,bexar,SAN ANTONIO,29.554589,-98.586186
ALTERNATIVE MIDDLE SOUTH,bexar,SAN ANTONIO,29.454648,-98.589088
ALTERNATIVE SCHOOL,chambers,MONT BELVIEU,29.837776,-94.851187
ALTERNATIVE SCHOOL,bexar,SAN ANTONIO,29.330183,-98.543135
ALTERNATIVE SCHOOL,wilson,FLORESVILLE,29.152998,-98.156784
ALTO,cherokee,ALTO,31.660167,-95.073495
ALTO BONITO EL,starr,RIO GRANDE CITY,26.31112,-98.639866
ALTO EL,cherokee,ALTO,31.660272,-95.074697
ALTO MIDDLE,cherokee,ALTO,31.659998,-95.074466
ALTON BOWEN EL,brazos,BRYAN,30.655285,-96.304057
ALTON BOYD EL,collin,ALLEN,33.08523,-96.667458
ALTON EL,washington,BRENHAM,30.15835,-96.395531
ALTON EL,hidalgo,ALTON,26.288447,-98.309827
ALTON MEMORIAL J H,hidalgo,ALTON,26.286926,-98.331976
ALVARADO,johnson,ALVARADO,32.390142,-97.206673
ALVARADO EL-NORTH,johnson,ALVARADO,32.431012,-97.216126
ALVARADO EL-SOUTH,johnson,ALVARADO,32.403081,-97.199704
ALVARADO INT,johnson,ALVARADO,32.400192,-97.193908
ALVARADO J H,johnson,ALVARADO,32.418423,-97.213383
ALVAREZ EL,hidalgo,MCALLEN,26.213006,-98.249223
ALVIN,brazoria,ALVIN,29.417432,-95.25215
ALVIN EL,brazoria,ALVIN,29.40187,-95.26148
ALVIN J H,brazoria,ALVIN,29.405351,-95.266621
ALVIN PRI,brazoria,ALVIN,29.404219,-95.264111
ALVIS C STORY EL,collin,ALLEN,33.094894,-96.629657
ALVORD,wise,ALVORD,33.354728,-97.7055
ALVORD EL,wise,ALVORD,33.359836,-97.7021
ALVORD MIDDLE,wise,ALVORD,33.357512,-97.708921
AMADOR R RODRIGUEZ JUVENILE BOOT,cameron,SAN BENITO,26.131199,-97.628474
AMANDA GARZA-PENA EL,hidalgo,SAN JUAN,26.206572,-98.144315
AMANDA ROCHELL EL,rockwall,ROCKWALL,32.899099,-96.456848
AMARILLO,randall,AMARILLO,35.166975,-101.905065
AMARILLO AREA CTR FOR ADVANCED L,potter,AMARILLO,35.226542,-101.880341
AMBASSADORS PREPARATORY ACADEMY,galveston,GALVESTON,29.27433,-94.818201
AMBER TERRACE DISCOVERY & DESIGN,dallas,DESOTO,32.57698,-96.853261
AMBER TERRACE EL,dallas,DESOTO,32.577149,-96.853037
AMELIA EARHART LEARNING CENTER,dallas,DALLAS,32.785138,-96.874809
AMELIA EL,jefferson,BEAUMONT,30.070287,-94.189018
AMERICAS,el paso,EL PASO,31.729613,-106.277371
AMHERST SCHOOL,lamb,AMHERST,34.017057,-102.409638
AMI KIDS RIO GRANDE VALLEY (FKA,cameron,LOS FRESNOS,26.160892,-97.353966
AMIGOS POR VIDA-FRIENDS FOR LIFE,harris,HOUSTON,29.722918,-95.478456
AMOS EL,tarrant,ARLINGTON,32.694322,-97.091838
AMPARO GUTIERREZ EL,webb,LAREDO,27.556313,-99.488439
AMY PARKS-HEATH EL,rockwall,HEATH,32.83819,-96.472223
ANAHUAC,chambers,ANAHUAC,29.770692,-94.676059
ANAHUAC EL,chambers,ANAHUAC,29.763501,-94.67196
ANAHUAC MIDDLE,chambers,ANAHUAC,29.770658,-94.679343
ANDERSON,travis,AUSTIN,30.375754,-97.753617
ANDERSON-SHIRO EL,grimes,ANDERSON,30.48792,-95.995621
ANDERSON-SHIRO JR/SR,grimes,ANDERSON,30.488261,-95.99394
ANDERSON ACADEMY,harris,HOUSTON,29.8684,-95.430028
ANDERSON EL,tarrant,ARLINGTON,32.723809,-97.049951
ANDERSON EL,montgomery,CONROE,30.3254,-95.44395
ANDERSON EL,collin,PLANO,33.10621,-96.74588
ANDERSON EL,harris,HOUSTON,29.64823,-95.487988
ANDERSON EL,angelina,LUFKIN,31.286996,-94.723443
ANDERSON EL,harris,SPRING,30.037228,-95.333668
ANDERSON MILL EL,williamson,AUSTIN,30.452698,-97.805996
ANDRE EL,harris,CYPRESS,29.897285,-95.719911
ANDRESS,el paso,EL PASO,31.910131,-106.416685
ANDREW JACKSON MIDDLE,dallas,GRAND PRAIRIE,32.686568,-97.004654
ANDREWS,andrews,ANDREWS,32.325672,-102.56782
ANDREWS EDUCATION CENTER,andrews,ANDREWS,32.32137,-102.551591
ANDREWS EL,travis,AUSTIN,30.317783,-97.680186
ANDREWS EL,san patricio,PORTLAND,27.892857,-97.332993
ANDREWS EL,collin,PLANO,33.091668,-96.739811
ANDREWS MIDDLE,andrews,ANDREWS,32.323708,-102.551176
ANDY DEKANEY,harris,HOUSTON,30.018579,-95.419214
ANGELA GERUSA LEAL EL,cameron,SAN BENITO,26.075416,-97.638737
ANGELINA COOPERATIVE EARLY COLLE,angelina,LUFKIN,31.338994,-94.730015
ANGLETON,brazoria,ANGLETON,29.199661,-95.416688
ANGLETON J H SCHOOL,brazoria,ANGLETON,29.193923,-95.419317
ANITA SCOTT EL,rockwall,ROYSE CITY,32.96155,-96.340722
ANN BROCK EL AT OAK GROVE,tarrant,FORT WORTH,32.58295,-97.294671
ANN M GARCIA-ENRIQUEZ MIDDLE,el paso,SAN ELIZARIO,31.59055,-106.273789
ANN RICHARDS MIDDLE,dallas,DALLAS,32.771445,-96.665504
ANN RICHARDS MIDDLE,hidalgo,MISSION,26.24909,-98.399651
ANN WHITNEY EL,hamilton,HAMILTON,31.701581,-98.126444
ANNA,collin,ANNA,33.360926,-96.550882
ANNA ISD EARLY CHILDHOOD CENTER,collin,ANNA,33.344825,-96.548622
ANNA MAY DAULTON EL,tarrant,GRAND PRAIRIE,32.5896,-97.0383
ANNA MIDDLE,collin,ANNA,33.36045,-96.553081
ANNE FRANK EL,dallas,DALLAS,32.947559,-96.817886
ANNE FRANK INSPIRE ACADEMY,bexar,SAN ANTONIO,29.547006,-98.66048
ANNE L MAGEE EL,hidalgo,EDINBURG,26.336655,-98.19814
ANNE MCCORMICK SULLIVAN EL,fort bend,SUGAR LAND,29.540647,-95.593858
ANNETTE PERRY EL,johnson,MANSFIELD,32.5446,-97.119451
ANNIE PURL EL,williamson,GEORGETOWN,30.627875,-97.665218
ANNIE SIMS EL,titus,MOUNT PLEASANT,33.156492,-94.943821
ANNIE WEBB BLANTON EL,dallas,DALLAS,32.751082,-96.669071
ANNUNCIATION MATERNITY HOME,williamson,GEORGETOWN,30.715235,-97.676046
ANSON,jones,ANSON,32.752976,-99.895915
ANSON EL,jones,ANSON,32.758527,-99.90108
ANSON JONES EL,brazos,BRYAN,30.663966,-96.385353
ANSON JONES EL,dallas,DALLAS,32.742683,-96.884455
ANSON MIDDLE,jones,ANSON,32.756784,-99.900698
ANTHON EL,uvalde,UVALDE,29.22535,-99.795961
ANTHONY,el paso,ANTHONY,31.99183,-106.597301
ANTHONY EL,el paso,ANTHONY,31.995667,-106.601444
ANTHONY MIDDLE,el paso,ANTHONY,31.993041,-106.600323
ANTHONY MIDDLE,harris,CYRESS,29.92646,-95.703671
ANTON P E P,cochran,MORTON,33.721572,-102.764696
ANTON SCHOOL,hockley,ANTON,33.814793,-102.16247
ANTONIO GONZALEZ MIDDLE,webb,LAREDO,27.500337,-99.435039
AOY EL,el paso,EL PASO,31.751699,-106.481816
APACHE EL,pecos,FORT STOCKTON,30.902549,-102.881026
APOLLO,harris,CHANNELVIEW,29.79407,-95.142671000000007
APOLLO J H,dallas,RICHARDSON,32.952088,-96.695146
APPLE SPRINGS,trinity,APPLE SPRINGS,31.225009,-94.970723
APPLE SPRINGS EL,trinity,APPLE SPRINGS,31.225009,-94.970723
APPLIED LEARNING ACAD,tarrant,FORT WORTH,32.720577,-97.437861
AQUILLA SCHOOL,hill,AQUILLA,31.854315,-97.218565
ARABIC IMMERSION MAGNET SCHOOL,harris,HOUSTON,29.81139,-95.413391
ARAGON MIDDLE,harris,HOUSTON,29.904225,-95.666474
ARANSAS PASS,san patricio,ARANSAS PASS,27.913187,-97.167905
ARANSAS PASS JJAEP,san patricio,ARANSAS PASS,27.90289,-97.147911
ARAPAHO CLASSICAL MAGNET,dallas,RICHARDSON,32.961627,-96.763452
ARBOR CREEK MIDDLE,denton,CARROLLTON,33.034888,-96.873256
ARCADIA PARK EL,dallas,DALLAS,32.758932,-96.910645
ARCHER CITY,archer,ARCHER CITY,33.589093,-98.630853
ARCHER CITY EL,archer,ARCHER CITY,33.588601,-98.63108
ARDEN ROAD EL,randall,AMARILLO,35.128809,-101.91447
ARGYLE,denton,ARGYLE,33.107167,-97.185452
ARGYLE INT,denton,ARGYLE,33.12477,-97.186851
ARGYLE MIDDLE,denton,ARGYLE,33.107167,-97.185452
ARISTOI CLASSICAL ACADEMY,harris,KATY,29.797051,-95.822066
ARISTOI CLASSICAL UPPER SCHOOL,harris,KATY,29.78711,-95.820801
ARIZONA FLEMING EL,fort bend,HOUSTON,29.677435,-95.650517
ARLINGTON,tarrant,ARLINGTON,32.72031,-97.11584
ARLINGTON CLASSICS ACADEMY - MID,tarrant,ARLINGTON,32.66256,-97.151061
ARLINGTON CLASSICS ACADEMY - PRI,tarrant,ARLINGTON,32.70582,-97.153441
ARLINGTON CLASSICS ACADEMY -INTE,tarrant,ARLINGTON,32.66256,-97.151061
ARLINGTON COLLEGIATE,tarrant,ARLINGTON,32.70982,-97.124471
ARLINGTON HEIGHTS,tarrant,FORT WORTH,32.730843,-97.385965
ARLINGTON PARK EARLY CHILDHOOD C,dallas,DALLAS,32.81494,-96.852011
ARLON R SEAY EL,comal,SPRING BRANCH,29.795137,-98.433564
ARLYNE & ALAN WEBER EL,harris,HOUSTON,29.569861,-95.223143
ARMAND BAYOU EL,harris,HOUSTON,29.593728,-95.114462
ARMANDO CERNA EL,maverick,EAGLE PASS,28.68938,-100.47172
ARMANDO CHAPA MIDDLE,hays,KYLE,30.020977,-97.83298
ARMANDO CUELLAR MIDDLE,hidalgo,WESLACO,26.148699,-97.981112
ARMENDARIZ MIDDLE,el paso,EL PASO,31.780617,-106.471928
ARMSTRONG EL,montgomery,CONROE,30.295283,-95.459058
ARMSTRONG ELEMENTARY,dallas,DALLAS,32.834056,-96.791587
ARMSTRONG MIDDLE,collin,PLANO,33.02278,-96.658924
ARNOLD EL,bexar,SAN ANTONIO,29.49153,-98.537051
ARNOLD MIDDLE,harris,CYPRESS,29.939217,-95.650977
ARNOLDO CANTU SR EL,hidalgo,SAN JUAN,26.223549,-98.148267
ARP,smith,ARP,32.229632,-95.059236
ARP EL,smith,ARP,32.236853,-95.070148
ARP J H,smith,ARP,32.228738,-95.056881
ARROW ACADEMY - CHAMPIONS ACADEM,harris,HOUSTON,30.00261,-95.458281
ARROW ACADEMY - FORGE ACADEMY,harris,HOUSTON,29.70417,-95.367841
ARROW ACADEMY - HARVEST PREPARAT,harris,HOUSTON,29.95484,-95.397481
ARROW ACADEMY - LAS AMERICAS LEA,harris,HOUSTON,29.718834,-95.484922
ARROW ACADEMY - LIBERATION ACADE,fort bend,MISSOURI CITY,29.61228,-95.544491
ARROW ACADEMY - MCCORMACK HONORS,harris,HOUSTON,29.666326,-95.329708
ARROW ACADEMY - ODYSSEY PREPARAT,harris,HOUSTON,29.87101,-95.492391
ARROW ACADEMY - SAVE OUR STREETS,brazos,BRYAN,30.65676,-96.380821
ART AND PAT GOFORTH EL,galveston,LEAGUE CITY,29.510473,-95.062404
ARTHUR H MCNEIL EL,collin,MCKINNEY,33.161773,-96.664581
ARTHUR KRAMER EL,dallas,DALLAS,32.90162,-96.783571
ARTHUR L DAVILA MIDDLE,brazos,BRYAN,30.71808,-96.408551
ARTHUR MILLER CAREER CENTER,harris,KATY,29.795795,-95.809423
ARTIE L HENRY MIDDLE,williamson,CEDAR PARK,30.521626,-97.788545
ARTURO SALAZAR EL,dallas,DALLAS,32.733333,-96.868464
ASA E LOW JR INT,tarrant,MANSFIELD,32.594169,-97.130893
ASCARATE EL,el paso,EL PASO,31.75346,-106.39281
ASCHER SILBERSTEIN EL,dallas,DALLAS,32.767656,-96.719843
ASH,hale,PLAINVIEW,34.19059,-101.700661
ASHBEL SMITH EL,harris,BAYTOWN,29.732959,-94.96105
ASHERTON EL,dimmit,ASHERTON,28.437966,-99.764327
ASHFORD EL,harris,HOUSTON,29.746776,-95.597539
ASHLEY EL,collin,FRISCO,33.170021,-96.737959
ASHWORTH EL,tarrant,ARLINGTON,32.635563,-97.10501
ASKEW EL,harris,HOUSTON,29.751909,-95.577046
ASPERMONT,stonewall,ASPERMONT,33.138517,-100.221872
ASPERMONT EL,stonewall,ASPERMONT,33.138517,-100.221872
ASSESSMENT CTR,tarrant,FORT WORTH,32.76019,-97.360441
ASSETS,brazoria,ALVIN,29.418172,-95.24927
ATASCOCITA,harris,HUMBLE,29.979463,-95.173616
ATASCOCITA MIDDLE,harris,HUMBLE,29.993153,-95.160741
ATASCOCITA SPRINGS EL,harris,HUMBLE,29.965858,-95.18556
ATASCOSA CO ALTER,atascosa,JOURDANTON,28.92083,-98.54694
ATASCOSA CO ALTER,atascosa,JOURDANTON,28.920755,-98.546915
ATASCOSA CO ALTER,atascosa,JOURDANTON,28.920538,-98.547522
ATASCOSA CO JUVENILE UNIT,atascosa,POTEET,29.042237,-98.570424
ATASCOSA COUNTY JJAEP,atascosa,JOURDANTON,28.92083,-98.54694
ATASCOSA COUNTY JUVENILE JUSTICE,atascosa,JOURDANTON,28.920525,-98.547509
ATASCOSA JUVENILE DETENTION CTR,atascosa,JOURDANTON,28.920508,-98.547542000000007
ATHENS,henderson,ATHENS,32.200569,-95.845354
ATHENS EL,bexar,SAN ANTONIO,29.36645,-98.550511
ATHENS MIDDLE,henderson,ATHENS,32.158457,-95.838224
ATHERTON EL,tarrant,ARLINGTON,32.696049,-97.075199
ATHERTON EL,harris,HOUSTON,29.779819,-95.321659
